date,apartment for rent,State,DMA,Full
2004-01-01,14,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2004-02-01,41,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2004-03-01,36,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2004-04-01,32,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2004-05-01,16,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2004-06-01,61,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2004-07-01,22,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2004-08-01,52,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2004-09-01,21,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2004-10-01,32,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2004-11-01,0,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2004-12-01,24,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2005-01-01,23,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2005-02-01,36,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2005-03-01,34,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2005-04-01,18,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2005-05-01,21,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2005-06-01,28,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2005-07-01,0,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2005-08-01,12,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2005-09-01,9,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2005-10-01,0,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2005-11-01,0,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2005-12-01,19,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2006-01-01,49,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2006-02-01,21,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2006-03-01,18,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2006-04-01,29,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2006-05-01,27,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2006-06-01,24,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2006-07-01,27,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2006-08-01,27,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2006-09-01,25,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2006-10-01,20,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2006-11-01,22,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2006-12-01,11,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2007-01-01,20,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2007-02-01,11,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2007-03-01,26,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2007-04-01,32,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2007-05-01,31,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2007-06-01,31,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2007-07-01,35,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2007-08-01,31,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2007-09-01,13,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2007-10-01,22,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2007-11-01,21,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2007-12-01,20,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2008-01-01,36,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2008-02-01,32,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2008-03-01,45,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2008-04-01,33,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2008-05-01,29,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2008-06-01,32,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2008-07-01,29,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2008-08-01,29,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2008-09-01,32,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2008-10-01,19,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2008-11-01,25,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2008-12-01,32,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2009-01-01,37,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2009-02-01,19,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2009-03-01,29,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2009-04-01,22,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2009-05-01,60,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2009-06-01,36,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2009-07-01,41,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2009-08-01,29,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2009-09-01,39,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2009-10-01,27,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2009-11-01,24,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2009-12-01,16,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2010-01-01,57,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2010-02-01,42,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2010-03-01,39,NH,Boston MA-Manchester ,Boston MA-Manchester NH
