,date,condominium for sale,State,DMA,Full
0,2004-01-01,0,NY,New York ,New York NY
1,2004-02-01,0,NY,New York ,New York NY
2,2004-03-01,0,NY,New York ,New York NY
3,2004-04-01,58,NY,New York ,New York NY
4,2004-05-01,93,NY,New York ,New York NY
5,2004-06-01,0,NY,New York ,New York NY
6,2004-07-01,0,NY,New York ,New York NY
7,2004-08-01,52,NY,New York ,New York NY
8,2004-09-01,0,NY,New York ,New York NY
9,2004-10-01,0,NY,New York ,New York NY
10,2004-11-01,54,NY,New York ,New York NY
11,2004-12-01,0,NY,New York ,New York NY
12,2005-01-01,0,NY,New York ,New York NY
13,2005-02-01,0,NY,New York ,New York NY
14,2005-03-01,0,NY,New York ,New York NY
15,2005-04-01,0,NY,New York ,New York NY
16,2005-05-01,0,NY,New York ,New York NY
17,2005-06-01,0,NY,New York ,New York NY
18,2005-07-01,0,NY,New York ,New York NY
19,2005-08-01,0,NY,New York ,New York NY
20,2005-09-01,0,NY,New York ,New York NY
21,2005-10-01,26,NY,New York ,New York NY
22,2005-11-01,100,NY,New York ,New York NY
23,2005-12-01,0,NY,New York ,New York NY
24,2006-01-01,0,NY,New York ,New York NY
25,2006-02-01,17,NY,New York ,New York NY
26,2006-03-01,0,NY,New York ,New York NY
27,2006-04-01,29,NY,New York ,New York NY
28,2006-05-01,0,NY,New York ,New York NY
29,2006-06-01,27,NY,New York ,New York NY
30,2006-07-01,18,NY,New York ,New York NY
31,2006-08-01,24,NY,New York ,New York NY
32,2006-09-01,21,NY,New York ,New York NY
33,2006-10-01,64,NY,New York ,New York NY
34,2006-11-01,0,NY,New York ,New York NY
35,2006-12-01,22,NY,New York ,New York NY
36,2007-01-01,31,NY,New York ,New York NY
37,2007-02-01,0,NY,New York ,New York NY
38,2007-03-01,23,NY,New York ,New York NY
39,2007-04-01,0,NY,New York ,New York NY
40,2007-05-01,20,NY,New York ,New York NY
41,2007-06-01,20,NY,New York ,New York NY
42,2007-07-01,0,NY,New York ,New York NY
43,2007-08-01,8,NY,New York ,New York NY
44,2007-09-01,15,NY,New York ,New York NY
45,2007-10-01,0,NY,New York ,New York NY
46,2007-11-01,0,NY,New York ,New York NY
47,2007-12-01,0,NY,New York ,New York NY
48,2008-01-01,13,NY,New York ,New York NY
49,2008-02-01,25,NY,New York ,New York NY
50,2008-03-01,0,NY,New York ,New York NY
51,2008-04-01,26,NY,New York ,New York NY
52,2008-05-01,0,NY,New York ,New York NY
53,2008-06-01,15,NY,New York ,New York NY
54,2008-07-01,0,NY,New York ,New York NY
55,2008-08-01,8,NY,New York ,New York NY
56,2008-09-01,0,NY,New York ,New York NY
57,2008-10-01,0,NY,New York ,New York NY
58,2008-11-01,0,NY,New York ,New York NY
59,2008-12-01,0,NY,New York ,New York NY
60,2009-01-01,14,NY,New York ,New York NY
61,2009-02-01,0,NY,New York ,New York NY
62,2009-03-01,20,NY,New York ,New York NY
63,2009-04-01,9,NY,New York ,New York NY
64,2009-05-01,23,NY,New York ,New York NY
65,2009-06-01,15,NY,New York ,New York NY
66,2009-07-01,10,NY,New York ,New York NY
67,2009-08-01,11,NY,New York ,New York NY
68,2009-09-01,10,NY,New York ,New York NY
69,2009-10-01,9,NY,New York ,New York NY
70,2009-11-01,0,NY,New York ,New York NY
71,2009-12-01,19,NY,New York ,New York NY
72,2010-01-01,13,NY,New York ,New York NY
