date,house,State,DMA,Full
2004-01-01,0,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2004-02-01,37,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2004-03-01,100,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2004-04-01,0,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2004-05-01,26,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2004-06-01,55,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2004-07-01,90,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2004-08-01,35,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2004-09-01,0,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2004-10-01,63,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2004-11-01,29,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2004-12-01,0,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2005-01-01,32,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2005-02-01,19,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2005-03-01,31,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2005-04-01,22,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2005-05-01,53,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2005-06-01,26,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2005-07-01,50,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2005-08-01,30,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2005-09-01,0,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2005-10-01,32,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2005-11-01,34,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2005-12-01,25,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2006-01-01,60,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2006-02-01,19,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2006-03-01,39,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2006-04-01,74,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2006-05-01,33,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2006-06-01,24,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2006-07-01,33,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2006-08-01,51,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2006-09-01,56,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2006-10-01,47,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2006-11-01,41,WV,Clarksburg-Weston ,Clarksburg-Weston WV
2006-12-01,18,WV,Clarksburg-Weston ,Clarksburg-Weston WV
