date,house,State,DMA,Full
2004-01-01,35,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2004-02-01,73,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2004-03-01,0,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2004-04-01,46,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2004-05-01,34,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2004-06-01,38,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2004-07-01,57,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2004-08-01,65,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2004-09-01,34,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2004-10-01,31,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2004-11-01,100,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2004-12-01,0,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2005-01-01,46,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2005-02-01,63,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2005-03-01,82,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2005-04-01,73,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2005-05-01,60,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2005-06-01,60,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2005-07-01,66,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2005-08-01,28,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2005-09-01,77,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2005-10-01,60,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2005-11-01,0,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2005-12-01,48,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2006-01-01,44,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2006-02-01,57,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2006-03-01,52,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2006-04-01,41,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2006-05-01,70,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2006-06-01,19,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2006-07-01,35,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2006-08-01,69,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2006-09-01,86,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2006-10-01,72,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2006-11-01,86,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2006-12-01,45,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2007-01-01,58,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2007-02-01,43,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2007-03-01,46,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2007-04-01,37,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2007-05-01,67,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2007-06-01,34,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2007-07-01,65,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2007-08-01,60,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2007-09-01,64,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2007-10-01,61,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2007-11-01,58,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2007-12-01,39,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2008-01-01,71,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2008-02-01,41,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2008-03-01,31,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2008-04-01,45,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2008-05-01,59,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2008-06-01,30,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2008-07-01,71,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2008-08-01,36,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2008-09-01,48,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2008-10-01,69,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2008-11-01,33,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2008-12-01,59,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
2009-01-01,72,KS,Joplin MO-Pittsburg ,Joplin MO-Pittsburg KS
