date,house,State,DMA,Full
2004-01-01,75,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2004-02-01,61,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2004-03-01,62,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2004-04-01,73,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2004-05-01,61,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2004-06-01,60,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2004-07-01,56,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2004-08-01,64,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2004-09-01,77,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2004-10-01,98,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2004-11-01,45,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2004-12-01,79,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2005-01-01,72,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2005-02-01,71,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2005-03-01,78,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2005-04-01,60,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2005-05-01,89,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2005-06-01,47,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2005-07-01,82,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2005-08-01,54,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2005-09-01,72,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2005-10-01,69,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2005-11-01,58,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2005-12-01,62,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2006-01-01,78,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2006-02-01,68,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2006-03-01,58,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2006-04-01,64,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2006-05-01,65,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2006-06-01,73,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2006-07-01,62,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2006-08-01,59,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2006-09-01,61,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2006-10-01,77,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2006-11-01,69,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2006-12-01,46,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2007-01-01,64,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2007-02-01,67,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2007-03-01,58,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2007-04-01,70,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2007-05-01,73,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2007-06-01,68,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2007-07-01,71,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2007-08-01,53,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2007-09-01,63,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2007-10-01,84,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2007-11-01,68,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2007-12-01,67,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2008-01-01,70,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2008-02-01,79,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2008-03-01,67,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2008-04-01,86,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2008-05-01,68,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2008-06-01,67,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2008-07-01,88,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2008-08-01,80,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2008-09-01,79,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2008-10-01,87,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2008-11-01,76,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2008-12-01,67,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2009-01-01,81,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2009-02-01,78,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2009-03-01,73,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2009-04-01,99,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2009-05-01,74,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2009-06-01,80,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2009-07-01,82,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2009-08-01,86,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2009-09-01,72,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2009-10-01,87,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2009-11-01,82,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2009-12-01,69,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2010-01-01,92,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2010-02-01,81,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2010-03-01,92,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2010-04-01,84,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2010-05-01,84,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2010-06-01,76,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2010-07-01,79,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2010-08-01,76,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2010-09-01,67,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2010-10-01,92,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2010-11-01,80,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2010-12-01,84,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2011-01-01,76,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2011-02-01,85,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2011-03-01,76,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2011-04-01,74,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2011-05-01,82,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2011-06-01,73,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2011-07-01,81,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2011-08-01,77,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2011-09-01,75,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2011-10-01,92,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2011-11-01,71,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2011-12-01,68,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2012-01-01,74,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2012-02-01,83,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2012-03-01,79,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2012-04-01,75,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2012-05-01,77,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2012-06-01,76,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2012-07-01,80,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2012-08-01,78,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2012-09-01,77,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2012-10-01,81,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2012-11-01,72,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2012-12-01,74,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2013-01-01,84,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2013-02-01,76,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2013-03-01,73,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2013-04-01,78,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2013-05-01,72,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2013-06-01,73,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2013-07-01,83,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2013-08-01,82,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2013-09-01,64,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2013-10-01,81,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2013-11-01,66,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2013-12-01,75,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2014-01-01,75,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2014-02-01,81,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
2014-03-01,72,NE,Lincoln & Hastings-Kearney ,Lincoln & Hastings-Kearney NE
