date,house for rent,State
2004-01-01,0,IL
2004-02-01,0,IL
2004-03-01,16,IL
2004-04-01,23,IL
2004-05-01,28,IL
2004-06-01,22,IL
2004-07-01,0,IL
2004-08-01,15,IL
2004-09-01,43,IL
2004-10-01,20,IL
2004-11-01,0,IL
2004-12-01,47,IL
2005-01-01,8,IL
2005-02-01,24,IL
2005-03-01,28,IL
2005-04-01,30,IL
2005-05-01,16,IL
2005-06-01,44,IL
2005-07-01,0,IL
2005-08-01,13,IL
2005-09-01,37,IL
2005-10-01,20,IL
2005-11-01,24,IL
2005-12-01,0,IL
2006-01-01,37,IL
2006-02-01,25,IL
2006-03-01,33,IL
2006-04-01,18,IL
2006-05-01,29,IL
2006-06-01,17,IL
2006-07-01,31,IL
2006-08-01,28,IL
2006-09-01,21,IL
2006-10-01,24,IL
2006-11-01,16,IL
2006-12-01,16,IL
2007-01-01,21,IL
2007-02-01,24,IL
2007-03-01,27,IL
2007-04-01,26,IL
2007-05-01,25,IL
2007-06-01,20,IL
2007-07-01,37,IL
2007-08-01,27,IL
2007-09-01,16,IL
2007-10-01,27,IL
2007-11-01,26,IL
2007-12-01,9,IL
2008-01-01,25,IL
2008-02-01,36,IL
2008-03-01,41,IL
2008-04-01,38,IL
2008-05-01,49,IL
2008-06-01,38,IL
2008-07-01,34,IL
2008-08-01,30,IL
2008-09-01,30,IL
2008-10-01,36,IL
2008-11-01,22,IL
2008-12-01,19,IL
2009-01-01,37,IL
2009-02-01,32,IL
2009-03-01,45,IL
2009-04-01,33,IL
2009-05-01,38,IL
2009-06-01,47,IL
2009-07-01,35,IL
2009-08-01,48,IL
2009-09-01,47,IL
2009-10-01,45,IL
2009-11-01,29,IL
2009-12-01,44,IL
2010-01-01,41,IL
2010-02-01,37,IL
2010-03-01,41,IL
2010-04-01,48,IL
2010-05-01,56,IL
2010-06-01,46,IL
2010-07-01,48,IL
2010-08-01,57,IL
2010-09-01,41,IL
2010-10-01,43,IL
2010-11-01,39,IL
2010-12-01,42,IL
2011-01-01,63,IL
2011-02-01,57,IL
2011-03-01,66,IL
2011-04-01,56,IL
2011-05-01,61,IL
2011-06-01,64,IL
2011-07-01,64,IL
2011-08-01,61,IL
2011-09-01,47,IL
2011-10-01,43,IL
2011-11-01,46,IL
2011-12-01,47,IL
2012-01-01,71,IL
2012-02-01,57,IL
2012-03-01,65,IL
2012-04-01,58,IL
2012-05-01,59,IL
2012-06-01,74,IL
2012-07-01,65,IL
2012-08-01,60,IL
2012-09-01,53,IL
2012-10-01,49,IL
2012-11-01,50,IL
2012-12-01,45,IL
2013-01-01,64,IL
2013-02-01,64,IL
2013-03-01,67,IL
2013-04-01,68,IL
2013-05-01,72,IL
2013-06-01,66,IL
2013-07-01,85,IL
2013-08-01,67,IL
2013-09-01,65,IL
2013-10-01,57,IL
2013-11-01,54,IL
2013-12-01,47,IL
2014-01-01,67,IL
2014-02-01,69,IL
2014-03-01,74,IL
2014-04-01,84,IL
2014-05-01,71,IL
2014-06-01,89,IL
2014-07-01,80,IL
2014-08-01,81,IL
2014-09-01,75,IL
2014-10-01,69,IL
2014-11-01,65,IL
2014-12-01,65,IL
2015-01-01,88,IL
2015-02-01,95,IL
2015-03-01,94,IL
2015-04-01,94,IL
2015-05-01,94,IL
2015-06-01,100,IL
2015-07-01,85,IL
2015-08-01,75,IL
2015-09-01,66,IL
2015-10-01,61,IL
2015-11-01,50,IL
2015-12-01,56,IL
2016-01-01,78,IL
2016-02-01,71,IL
2016-03-01,80,IL
2016-04-01,80,IL
2016-05-01,89,IL
2016-06-01,87,IL
2016-07-01,86,IL
2016-08-01,83,IL
2016-09-01,68,IL
2016-10-01,59,IL
2016-11-01,61,IL
2016-12-01,58,IL
2017-01-01,78,IL
2017-02-01,76,IL
2017-03-01,79,IL
2017-04-01,75,IL
2017-05-01,81,IL
2017-06-01,78,IL
2017-07-01,84,IL
2017-08-01,76,IL
2017-09-01,69,IL
2017-10-01,57,IL
2017-11-01,63,IL
2017-12-01,52,IL
2018-01-01,70,IL
2018-02-01,78,IL
2018-03-01,77,IL
2018-04-01,79,IL
2018-05-01,84,IL
2018-06-01,81,IL
2018-07-01,83,IL
2018-08-01,79,IL
2018-09-01,67,IL
2018-10-01,68,IL
2018-11-01,54,IL
2018-12-01,55,IL
2019-01-01,74,IL
2019-02-01,79,IL
2019-03-01,80,IL
2019-04-01,83,IL
2019-05-01,74,IL
2019-06-01,92,IL
2019-07-01,93,IL
2019-08-01,75,IL
2019-09-01,70,IL
2019-10-01,65,IL
2019-11-01,57,IL
2019-12-01,56,IL
2020-01-01,69,IL
2020-02-01,70,IL
2020-03-01,60,IL
2020-04-01,66,IL
2020-05-01,87,IL
2020-06-01,91,IL
2020-07-01,96,IL
2020-08-01,84,IL
2020-09-01,70,IL
2020-10-01,70,IL
2020-11-01,62,IL
2020-12-01,66,IL
