date,house for rent,State
2004-01-01,0,MI
2004-02-01,0,MI
2004-03-01,22,MI
2004-04-01,30,MI
2004-05-01,49,MI
2004-06-01,0,MI
2004-07-01,0,MI
2004-08-01,32,MI
2004-09-01,41,MI
2004-10-01,21,MI
2004-11-01,35,MI
2004-12-01,0,MI
2005-01-01,27,MI
2005-02-01,21,MI
2005-03-01,22,MI
2005-04-01,23,MI
2005-05-01,31,MI
2005-06-01,0,MI
2005-07-01,52,MI
2005-08-01,15,MI
2005-09-01,46,MI
2005-10-01,21,MI
2005-11-01,0,MI
2005-12-01,0,MI
2006-01-01,26,MI
2006-02-01,14,MI
2006-03-01,22,MI
2006-04-01,0,MI
2006-05-01,11,MI
2006-06-01,28,MI
2006-07-01,33,MI
2006-08-01,33,MI
2006-09-01,27,MI
2006-10-01,16,MI
2006-11-01,15,MI
2006-12-01,8,MI
2007-01-01,28,MI
2007-02-01,20,MI
2007-03-01,34,MI
2007-04-01,28,MI
2007-05-01,36,MI
2007-06-01,38,MI
2007-07-01,19,MI
2007-08-01,26,MI
2007-09-01,22,MI
2007-10-01,24,MI
2007-11-01,45,MI
2007-12-01,34,MI
2008-01-01,20,MI
2008-02-01,35,MI
2008-03-01,39,MI
2008-04-01,61,MI
2008-05-01,53,MI
2008-06-01,38,MI
2008-07-01,35,MI
2008-08-01,69,MI
2008-09-01,32,MI
2008-10-01,42,MI
2008-11-01,46,MI
2008-12-01,33,MI
2009-01-01,49,MI
2009-02-01,52,MI
2009-03-01,33,MI
2009-04-01,53,MI
2009-05-01,52,MI
2009-06-01,53,MI
2009-07-01,48,MI
2009-08-01,40,MI
2009-09-01,28,MI
2009-10-01,34,MI
2009-11-01,34,MI
2009-12-01,38,MI
2010-01-01,43,MI
2010-02-01,50,MI
2010-03-01,56,MI
2010-04-01,34,MI
2010-05-01,77,MI
2010-06-01,52,MI
2010-07-01,63,MI
2010-08-01,54,MI
2010-09-01,54,MI
2010-10-01,45,MI
2010-11-01,42,MI
2010-12-01,46,MI
2011-01-01,64,MI
2011-02-01,54,MI
2011-03-01,66,MI
2011-04-01,69,MI
2011-05-01,69,MI
2011-06-01,71,MI
2011-07-01,78,MI
2011-08-01,65,MI
2011-09-01,44,MI
2011-10-01,55,MI
2011-11-01,58,MI
2011-12-01,42,MI
2012-01-01,56,MI
2012-02-01,61,MI
2012-03-01,54,MI
2012-04-01,64,MI
2012-05-01,70,MI
2012-06-01,75,MI
2012-07-01,72,MI
2012-08-01,80,MI
2012-09-01,70,MI
2012-10-01,43,MI
2012-11-01,43,MI
2012-12-01,43,MI
2013-01-01,80,MI
2013-02-01,54,MI
2013-03-01,50,MI
2013-04-01,66,MI
2013-05-01,63,MI
2013-06-01,68,MI
2013-07-01,85,MI
2013-08-01,83,MI
2013-09-01,57,MI
2013-10-01,48,MI
2013-11-01,51,MI
2013-12-01,41,MI
2014-01-01,67,MI
2014-02-01,69,MI
2014-03-01,70,MI
2014-04-01,71,MI
2014-05-01,69,MI
2014-06-01,66,MI
2014-07-01,80,MI
2014-08-01,58,MI
2014-09-01,56,MI
2014-10-01,60,MI
2014-11-01,49,MI
2014-12-01,43,MI
2015-01-01,69,MI
2015-02-01,65,MI
2015-03-01,78,MI
2015-04-01,78,MI
2015-05-01,74,MI
2015-06-01,100,MI
2015-07-01,94,MI
2015-08-01,94,MI
2015-09-01,73,MI
2015-10-01,69,MI
2015-11-01,54,MI
2015-12-01,61,MI
2016-01-01,82,MI
2016-02-01,82,MI
2016-03-01,78,MI
2016-04-01,74,MI
2016-05-01,77,MI
2016-06-01,86,MI
2016-07-01,86,MI
2016-08-01,82,MI
2016-09-01,78,MI
2016-10-01,66,MI
2016-11-01,61,MI
2016-12-01,58,MI
2017-01-01,69,MI
2017-02-01,80,MI
2017-03-01,76,MI
2017-04-01,76,MI
2017-05-01,73,MI
2017-06-01,86,MI
2017-07-01,82,MI
2017-08-01,86,MI
2017-09-01,66,MI
2017-10-01,63,MI
2017-11-01,61,MI
2017-12-01,53,MI
2018-01-01,70,MI
2018-02-01,77,MI
2018-03-01,80,MI
2018-04-01,81,MI
2018-05-01,75,MI
2018-06-01,94,MI
2018-07-01,91,MI
2018-08-01,80,MI
2018-09-01,75,MI
2018-10-01,63,MI
2018-11-01,55,MI
2018-12-01,62,MI
2019-01-01,77,MI
2019-02-01,77,MI
2019-03-01,79,MI
2019-04-01,83,MI
2019-05-01,79,MI
2019-06-01,84,MI
2019-07-01,83,MI
2019-08-01,77,MI
2019-09-01,65,MI
2019-10-01,63,MI
2019-11-01,63,MI
2019-12-01,58,MI
2020-01-01,65,MI
2020-02-01,66,MI
2020-03-01,50,MI
2020-04-01,57,MI
2020-05-01,76,MI
2020-06-01,87,MI
2020-07-01,86,MI
2020-08-01,81,MI
2020-09-01,75,MI
2020-10-01,73,MI
2020-11-01,57,MI
2020-12-01,61,MI
