date,house for rent,State
2004-01-01,0,PA
2004-02-01,29,PA
2004-03-01,0,PA
2004-04-01,30,PA
2004-05-01,16,PA
2004-06-01,29,PA
2004-07-01,26,PA
2004-08-01,21,PA
2004-09-01,35,PA
2004-10-01,0,PA
2004-11-01,0,PA
2004-12-01,0,PA
2005-01-01,15,PA
2005-02-01,26,PA
2005-03-01,24,PA
2005-04-01,11,PA
2005-05-01,17,PA
2005-06-01,15,PA
2005-07-01,23,PA
2005-08-01,12,PA
2005-09-01,16,PA
2005-10-01,20,PA
2005-11-01,15,PA
2005-12-01,17,PA
2006-01-01,25,PA
2006-02-01,20,PA
2006-03-01,16,PA
2006-04-01,20,PA
2006-05-01,31,PA
2006-06-01,22,PA
2006-07-01,37,PA
2006-08-01,20,PA
2006-09-01,28,PA
2006-10-01,15,PA
2006-11-01,16,PA
2006-12-01,13,PA
2007-01-01,24,PA
2007-02-01,25,PA
2007-03-01,17,PA
2007-04-01,33,PA
2007-05-01,28,PA
2007-06-01,31,PA
2007-07-01,33,PA
2007-08-01,32,PA
2007-09-01,29,PA
2007-10-01,19,PA
2007-11-01,19,PA
2007-12-01,15,PA
2008-01-01,32,PA
2008-02-01,26,PA
2008-03-01,27,PA
2008-04-01,41,PA
2008-05-01,29,PA
2008-06-01,39,PA
2008-07-01,42,PA
2008-08-01,33,PA
2008-09-01,22,PA
2008-10-01,29,PA
2008-11-01,19,PA
2008-12-01,16,PA
2009-01-01,41,PA
2009-02-01,37,PA
2009-03-01,30,PA
2009-04-01,37,PA
2009-05-01,31,PA
2009-06-01,47,PA
2009-07-01,39,PA
2009-08-01,34,PA
2009-09-01,35,PA
2009-10-01,28,PA
2009-11-01,32,PA
2009-12-01,34,PA
2010-01-01,33,PA
2010-02-01,28,PA
2010-03-01,40,PA
2010-04-01,32,PA
2010-05-01,26,PA
2010-06-01,42,PA
2010-07-01,48,PA
2010-08-01,35,PA
2010-09-01,33,PA
2010-10-01,38,PA
2010-11-01,40,PA
2010-12-01,25,PA
2011-01-01,51,PA
2011-02-01,43,PA
2011-03-01,44,PA
2011-04-01,40,PA
2011-05-01,50,PA
2011-06-01,51,PA
2011-07-01,45,PA
2011-08-01,45,PA
2011-09-01,32,PA
2011-10-01,34,PA
2011-11-01,35,PA
2011-12-01,39,PA
2012-01-01,55,PA
2012-02-01,45,PA
2012-03-01,47,PA
2012-04-01,47,PA
2012-05-01,49,PA
2012-06-01,55,PA
2012-07-01,53,PA
2012-08-01,56,PA
2012-09-01,47,PA
2012-10-01,35,PA
2012-11-01,38,PA
2012-12-01,33,PA
2013-01-01,49,PA
2013-02-01,55,PA
2013-03-01,53,PA
2013-04-01,43,PA
2013-05-01,52,PA
2013-06-01,53,PA
2013-07-01,57,PA
2013-08-01,55,PA
2013-09-01,50,PA
2013-10-01,44,PA
2013-11-01,42,PA
2013-12-01,34,PA
2014-01-01,54,PA
2014-02-01,53,PA
2014-03-01,56,PA
2014-04-01,54,PA
2014-05-01,57,PA
2014-06-01,54,PA
2014-07-01,61,PA
2014-08-01,58,PA
2014-09-01,45,PA
2014-10-01,43,PA
2014-11-01,45,PA
2014-12-01,42,PA
2015-01-01,63,PA
2015-02-01,57,PA
2015-03-01,58,PA
2015-04-01,64,PA
2015-05-01,61,PA
2015-06-01,67,PA
2015-07-01,73,PA
2015-08-01,64,PA
2015-09-01,52,PA
2015-10-01,48,PA
2015-11-01,44,PA
2015-12-01,45,PA
2016-01-01,72,PA
2016-02-01,66,PA
2016-03-01,70,PA
2016-04-01,68,PA
2016-05-01,74,PA
2016-06-01,74,PA
2016-07-01,87,PA
2016-08-01,74,PA
2016-09-01,63,PA
2016-10-01,58,PA
2016-11-01,51,PA
2016-12-01,55,PA
2017-01-01,76,PA
2017-02-01,72,PA
2017-03-01,70,PA
2017-04-01,68,PA
2017-05-01,81,PA
2017-06-01,89,PA
2017-07-01,84,PA
2017-08-01,74,PA
2017-09-01,65,PA
2017-10-01,63,PA
2017-11-01,59,PA
2017-12-01,54,PA
2018-01-01,73,PA
2018-02-01,77,PA
2018-03-01,75,PA
2018-04-01,74,PA
2018-05-01,77,PA
2018-06-01,84,PA
2018-07-01,88,PA
2018-08-01,78,PA
2018-09-01,74,PA
2018-10-01,69,PA
2018-11-01,57,PA
2018-12-01,58,PA
2019-01-01,79,PA
2019-02-01,85,PA
2019-03-01,86,PA
2019-04-01,76,PA
2019-05-01,79,PA
2019-06-01,85,PA
2019-07-01,93,PA
2019-08-01,88,PA
2019-09-01,73,PA
2019-10-01,65,PA
2019-11-01,60,PA
2019-12-01,54,PA
2020-01-01,74,PA
2020-02-01,77,PA
2020-03-01,59,PA
2020-04-01,57,PA
2020-05-01,72,PA
2020-06-01,100,PA
2020-07-01,97,PA
2020-08-01,82,PA
2020-09-01,73,PA
2020-10-01,70,PA
2020-11-01,62,PA
2020-12-01,61,PA
