date,house for rent,State
2004-01-01,0,WA
2004-02-01,29,WA
2004-03-01,0,WA
2004-04-01,0,WA
2004-05-01,39,WA
2004-06-01,20,WA
2004-07-01,38,WA
2004-08-01,33,WA
2004-09-01,15,WA
2004-10-01,18,WA
2004-11-01,37,WA
2004-12-01,0,WA
2005-01-01,33,WA
2005-02-01,0,WA
2005-03-01,27,WA
2005-04-01,0,WA
2005-05-01,13,WA
2005-06-01,38,WA
2005-07-01,40,WA
2005-08-01,39,WA
2005-09-01,58,WA
2005-10-01,37,WA
2005-11-01,15,WA
2005-12-01,10,WA
2006-01-01,72,WA
2006-02-01,45,WA
2006-03-01,46,WA
2006-04-01,33,WA
2006-05-01,28,WA
2006-06-01,34,WA
2006-07-01,39,WA
2006-08-01,16,WA
2006-09-01,17,WA
2006-10-01,33,WA
2006-11-01,25,WA
2006-12-01,18,WA
2007-01-01,28,WA
2007-02-01,57,WA
2007-03-01,22,WA
2007-04-01,41,WA
2007-05-01,57,WA
2007-06-01,28,WA
2007-07-01,37,WA
2007-08-01,47,WA
2007-09-01,32,WA
2007-10-01,35,WA
2007-11-01,29,WA
2007-12-01,29,WA
2008-01-01,40,WA
2008-02-01,39,WA
2008-03-01,49,WA
2008-04-01,45,WA
2008-05-01,46,WA
2008-06-01,54,WA
2008-07-01,54,WA
2008-08-01,50,WA
2008-09-01,51,WA
2008-10-01,28,WA
2008-11-01,20,WA
2008-12-01,22,WA
2009-01-01,39,WA
2009-02-01,47,WA
2009-03-01,42,WA
2009-04-01,40,WA
2009-05-01,34,WA
2009-06-01,57,WA
2009-07-01,38,WA
2009-08-01,49,WA
2009-09-01,47,WA
2009-10-01,35,WA
2009-11-01,45,WA
2009-12-01,38,WA
2010-01-01,46,WA
2010-02-01,54,WA
2010-03-01,50,WA
2010-04-01,50,WA
2010-05-01,60,WA
2010-06-01,60,WA
2010-07-01,60,WA
2010-08-01,50,WA
2010-09-01,55,WA
2010-10-01,46,WA
2010-11-01,46,WA
2010-12-01,37,WA
2011-01-01,53,WA
2011-02-01,50,WA
2011-03-01,57,WA
2011-04-01,65,WA
2011-05-01,49,WA
2011-06-01,59,WA
2011-07-01,62,WA
2011-08-01,61,WA
2011-09-01,41,WA
2011-10-01,40,WA
2011-11-01,33,WA
2011-12-01,41,WA
2012-01-01,57,WA
2012-02-01,55,WA
2012-03-01,52,WA
2012-04-01,56,WA
2012-05-01,49,WA
2012-06-01,58,WA
2012-07-01,59,WA
2012-08-01,57,WA
2012-09-01,61,WA
2012-10-01,45,WA
2012-11-01,36,WA
2012-12-01,34,WA
2013-01-01,53,WA
2013-02-01,54,WA
2013-03-01,54,WA
2013-04-01,57,WA
2013-05-01,61,WA
2013-06-01,58,WA
2013-07-01,58,WA
2013-08-01,66,WA
2013-09-01,54,WA
2013-10-01,45,WA
2013-11-01,44,WA
2013-12-01,41,WA
2014-01-01,58,WA
2014-02-01,71,WA
2014-03-01,67,WA
2014-04-01,59,WA
2014-05-01,67,WA
2014-06-01,63,WA
2014-07-01,69,WA
2014-08-01,60,WA
2014-09-01,61,WA
2014-10-01,51,WA
2014-11-01,52,WA
2014-12-01,46,WA
2015-01-01,65,WA
2015-02-01,69,WA
2015-03-01,89,WA
2015-04-01,86,WA
2015-05-01,74,WA
2015-06-01,78,WA
2015-07-01,78,WA
2015-08-01,64,WA
2015-09-01,67,WA
2015-10-01,54,WA
2015-11-01,54,WA
2015-12-01,48,WA
2016-01-01,75,WA
2016-02-01,87,WA
2016-03-01,86,WA
2016-04-01,100,WA
2016-05-01,85,WA
2016-06-01,86,WA
2016-07-01,82,WA
2016-08-01,84,WA
2016-09-01,68,WA
2016-10-01,61,WA
2016-11-01,51,WA
2016-12-01,56,WA
2017-01-01,74,WA
2017-02-01,79,WA
2017-03-01,84,WA
2017-04-01,89,WA
2017-05-01,84,WA
2017-06-01,94,WA
2017-07-01,88,WA
2017-08-01,67,WA
2017-09-01,67,WA
2017-10-01,64,WA
2017-11-01,65,WA
2017-12-01,55,WA
2018-01-01,71,WA
2018-02-01,76,WA
2018-03-01,82,WA
2018-04-01,78,WA
2018-05-01,83,WA
2018-06-01,95,WA
2018-07-01,88,WA
2018-08-01,84,WA
2018-09-01,72,WA
2018-10-01,63,WA
2018-11-01,63,WA
2018-12-01,61,WA
2019-01-01,78,WA
2019-02-01,77,WA
2019-03-01,85,WA
2019-04-01,75,WA
2019-05-01,92,WA
2019-06-01,87,WA
2019-07-01,79,WA
2019-08-01,82,WA
2019-09-01,63,WA
2019-10-01,62,WA
2019-11-01,58,WA
2019-12-01,64,WA
2020-01-01,71,WA
2020-02-01,82,WA
2020-03-01,62,WA
2020-04-01,66,WA
2020-05-01,88,WA
2020-06-01,93,WA
2020-07-01,93,WA
2020-08-01,86,WA
2020-09-01,68,WA
2020-10-01,75,WA
2020-11-01,64,WA
2020-12-01,71,WA
