date,house for sale,State,DMA,Full
2004-01-01,27,TX,Austin ,Austin TX
2004-02-01,0,TX,Austin ,Austin TX
2004-03-01,32,TX,Austin ,Austin TX
2004-04-01,57,TX,Austin ,Austin TX
2004-05-01,31,TX,Austin ,Austin TX
2004-06-01,48,TX,Austin ,Austin TX
2004-07-01,51,TX,Austin ,Austin TX
2004-08-01,33,TX,Austin ,Austin TX
2004-09-01,0,TX,Austin ,Austin TX
2004-10-01,20,TX,Austin ,Austin TX
2004-11-01,0,TX,Austin ,Austin TX
2004-12-01,24,TX,Austin ,Austin TX
2005-01-01,0,TX,Austin ,Austin TX
2005-02-01,0,TX,Austin ,Austin TX
2005-03-01,18,TX,Austin ,Austin TX
2005-04-01,25,TX,Austin ,Austin TX
2005-05-01,14,TX,Austin ,Austin TX
2005-06-01,49,TX,Austin ,Austin TX
2005-07-01,0,TX,Austin ,Austin TX
2005-08-01,0,TX,Austin ,Austin TX
2005-09-01,21,TX,Austin ,Austin TX
2005-10-01,0,TX,Austin ,Austin TX
2005-11-01,39,TX,Austin ,Austin TX
2005-12-01,20,TX,Austin ,Austin TX
2006-01-01,23,TX,Austin ,Austin TX
2006-02-01,43,TX,Austin ,Austin TX
2006-03-01,11,TX,Austin ,Austin TX
2006-04-01,16,TX,Austin ,Austin TX
2006-05-01,23,TX,Austin ,Austin TX
2006-06-01,20,TX,Austin ,Austin TX
2006-07-01,18,TX,Austin ,Austin TX
2006-08-01,44,TX,Austin ,Austin TX
2006-09-01,17,TX,Austin ,Austin TX
2006-10-01,24,TX,Austin ,Austin TX
2006-11-01,13,TX,Austin ,Austin TX
2006-12-01,26,TX,Austin ,Austin TX
2007-01-01,25,TX,Austin ,Austin TX
2007-02-01,15,TX,Austin ,Austin TX
2007-03-01,28,TX,Austin ,Austin TX
2007-04-01,29,TX,Austin ,Austin TX
2007-05-01,29,TX,Austin ,Austin TX
2007-06-01,25,TX,Austin ,Austin TX
2007-07-01,39,TX,Austin ,Austin TX
2007-08-01,40,TX,Austin ,Austin TX
2007-09-01,19,TX,Austin ,Austin TX
2007-10-01,17,TX,Austin ,Austin TX
2007-11-01,0,TX,Austin ,Austin TX
2007-12-01,41,TX,Austin ,Austin TX
2008-01-01,19,TX,Austin ,Austin TX
2008-02-01,21,TX,Austin ,Austin TX
2008-03-01,43,TX,Austin ,Austin TX
2008-04-01,16,TX,Austin ,Austin TX
2008-05-01,32,TX,Austin ,Austin TX
2008-06-01,51,TX,Austin ,Austin TX
2008-07-01,48,TX,Austin ,Austin TX
2008-08-01,40,TX,Austin ,Austin TX
2008-09-01,30,TX,Austin ,Austin TX
2008-10-01,20,TX,Austin ,Austin TX
2008-11-01,17,TX,Austin ,Austin TX
2008-12-01,16,TX,Austin ,Austin TX
2009-01-01,32,TX,Austin ,Austin TX
2009-02-01,41,TX,Austin ,Austin TX
2009-03-01,44,TX,Austin ,Austin TX
2009-04-01,27,TX,Austin ,Austin TX
2009-05-01,26,TX,Austin ,Austin TX
2009-06-01,29,TX,Austin ,Austin TX
2009-07-01,42,TX,Austin ,Austin TX
2009-08-01,35,TX,Austin ,Austin TX
2009-09-01,32,TX,Austin ,Austin TX
2009-10-01,26,TX,Austin ,Austin TX
2009-11-01,21,TX,Austin ,Austin TX
2009-12-01,33,TX,Austin ,Austin TX
2010-01-01,40,TX,Austin ,Austin TX
2010-02-01,56,TX,Austin ,Austin TX
2010-03-01,40,TX,Austin ,Austin TX
2010-04-01,39,TX,Austin ,Austin TX
2010-05-01,37,TX,Austin ,Austin TX
2010-06-01,31,TX,Austin ,Austin TX
2010-07-01,38,TX,Austin ,Austin TX
2010-08-01,38,TX,Austin ,Austin TX
2010-09-01,37,TX,Austin ,Austin TX
2010-10-01,35,TX,Austin ,Austin TX
2010-11-01,31,TX,Austin ,Austin TX
2010-12-01,48,TX,Austin ,Austin TX
2011-01-01,42,TX,Austin ,Austin TX
2011-02-01,34,TX,Austin ,Austin TX
