date,house for sale,State,DMA,Full
2004-01-01,0,TN,Memphis ,Memphis TN
2004-02-01,0,TN,Memphis ,Memphis TN
2004-03-01,81,TN,Memphis ,Memphis TN
2004-04-01,0,TN,Memphis ,Memphis TN
2004-05-01,0,TN,Memphis ,Memphis TN
2004-06-01,0,TN,Memphis ,Memphis TN
2004-07-01,0,TN,Memphis ,Memphis TN
2004-08-01,54,TN,Memphis ,Memphis TN
2004-09-01,100,TN,Memphis ,Memphis TN
2004-10-01,53,TN,Memphis ,Memphis TN
2004-11-01,0,TN,Memphis ,Memphis TN
2004-12-01,0,TN,Memphis ,Memphis TN
2005-01-01,0,TN,Memphis ,Memphis TN
2005-02-01,39,TN,Memphis ,Memphis TN
2005-03-01,0,TN,Memphis ,Memphis TN
2005-04-01,0,TN,Memphis ,Memphis TN
2005-05-01,0,TN,Memphis ,Memphis TN
2005-06-01,0,TN,Memphis ,Memphis TN
2005-07-01,0,TN,Memphis ,Memphis TN
2005-08-01,0,TN,Memphis ,Memphis TN
2005-09-01,87,TN,Memphis ,Memphis TN
2005-10-01,38,TN,Memphis ,Memphis TN
2005-11-01,0,TN,Memphis ,Memphis TN
2005-12-01,0,TN,Memphis ,Memphis TN
2006-01-01,0,TN,Memphis ,Memphis TN
2006-02-01,70,TN,Memphis ,Memphis TN
2006-03-01,30,TN,Memphis ,Memphis TN
2006-04-01,68,TN,Memphis ,Memphis TN
2006-05-01,28,TN,Memphis ,Memphis TN
2006-06-01,67,TN,Memphis ,Memphis TN
2006-07-01,0,TN,Memphis ,Memphis TN
2006-08-01,0,TN,Memphis ,Memphis TN
2006-09-01,79,TN,Memphis ,Memphis TN
2006-10-01,49,TN,Memphis ,Memphis TN
2006-11-01,16,TN,Memphis ,Memphis TN
2006-12-01,0,TN,Memphis ,Memphis TN
2007-01-01,0,TN,Memphis ,Memphis TN
2007-02-01,18,TN,Memphis ,Memphis TN
2007-03-01,30,TN,Memphis ,Memphis TN
2007-04-01,0,TN,Memphis ,Memphis TN
2007-05-01,0,TN,Memphis ,Memphis TN
2007-06-01,0,TN,Memphis ,Memphis TN
2007-07-01,15,TN,Memphis ,Memphis TN
2007-08-01,15,TN,Memphis ,Memphis TN
2007-09-01,0,TN,Memphis ,Memphis TN
2007-10-01,39,TN,Memphis ,Memphis TN
2007-11-01,24,TN,Memphis ,Memphis TN
2007-12-01,23,TN,Memphis ,Memphis TN
2008-01-01,24,TN,Memphis ,Memphis TN
2008-02-01,43,TN,Memphis ,Memphis TN
2008-03-01,27,TN,Memphis ,Memphis TN
2008-04-01,23,TN,Memphis ,Memphis TN
2008-05-01,19,TN,Memphis ,Memphis TN
2008-06-01,20,TN,Memphis ,Memphis TN
2008-07-01,18,TN,Memphis ,Memphis TN
2008-08-01,29,TN,Memphis ,Memphis TN
2008-09-01,0,TN,Memphis ,Memphis TN
2008-10-01,13,TN,Memphis ,Memphis TN
2008-11-01,32,TN,Memphis ,Memphis TN
2008-12-01,23,TN,Memphis ,Memphis TN
2009-01-01,22,TN,Memphis ,Memphis TN
2009-02-01,20,TN,Memphis ,Memphis TN
2009-03-01,22,TN,Memphis ,Memphis TN
2009-04-01,25,TN,Memphis ,Memphis TN
2009-05-01,43,TN,Memphis ,Memphis TN
2009-06-01,35,TN,Memphis ,Memphis TN
2009-07-01,28,TN,Memphis ,Memphis TN
2009-08-01,40,TN,Memphis ,Memphis TN
2009-09-01,35,TN,Memphis ,Memphis TN
2009-10-01,37,TN,Memphis ,Memphis TN
2009-11-01,19,TN,Memphis ,Memphis TN
2009-12-01,27,TN,Memphis ,Memphis TN
2010-01-01,17,TN,Memphis ,Memphis TN
2010-02-01,38,TN,Memphis ,Memphis TN
2010-03-01,18,TN,Memphis ,Memphis TN
2010-04-01,31,TN,Memphis ,Memphis TN
2010-05-01,19,TN,Memphis ,Memphis TN
2010-06-01,0,TN,Memphis ,Memphis TN
2010-07-01,22,TN,Memphis ,Memphis TN
2010-08-01,77,TN,Memphis ,Memphis TN
2010-09-01,34,TN,Memphis ,Memphis TN
2010-10-01,31,TN,Memphis ,Memphis TN
2010-11-01,0,TN,Memphis ,Memphis TN
2010-12-01,0,TN,Memphis ,Memphis TN
2011-01-01,29,TN,Memphis ,Memphis TN
2011-02-01,23,TN,Memphis ,Memphis TN
2011-03-01,32,TN,Memphis ,Memphis TN
2011-04-01,34,TN,Memphis ,Memphis TN
2011-05-01,38,TN,Memphis ,Memphis TN
2011-06-01,39,TN,Memphis ,Memphis TN
2011-07-01,48,TN,Memphis ,Memphis TN
2011-08-01,33,TN,Memphis ,Memphis TN
2011-09-01,41,TN,Memphis ,Memphis TN
2011-10-01,28,TN,Memphis ,Memphis TN
2011-11-01,33,TN,Memphis ,Memphis TN
2011-12-01,21,TN,Memphis ,Memphis TN
2012-01-01,34,TN,Memphis ,Memphis TN
2012-02-01,31,TN,Memphis ,Memphis TN
2012-03-01,40,TN,Memphis ,Memphis TN
2012-04-01,30,TN,Memphis ,Memphis TN
2012-05-01,42,TN,Memphis ,Memphis TN
2012-06-01,41,TN,Memphis ,Memphis TN
2012-07-01,38,TN,Memphis ,Memphis TN
2012-08-01,43,TN,Memphis ,Memphis TN
2012-09-01,33,TN,Memphis ,Memphis TN
2012-10-01,39,TN,Memphis ,Memphis TN
2012-11-01,30,TN,Memphis ,Memphis TN
