date,house for sale,State,DMA,Full
2004-01-01,10,NY,New York ,New York NY
2004-02-01,13,NY,New York ,New York NY
2004-03-01,20,NY,New York ,New York NY
2004-04-01,17,NY,New York ,New York NY
2004-05-01,10,NY,New York ,New York NY
2004-06-01,18,NY,New York ,New York NY
2004-07-01,18,NY,New York ,New York NY
2004-08-01,12,NY,New York ,New York NY
2004-09-01,16,NY,New York ,New York NY
2004-10-01,12,NY,New York ,New York NY
2004-11-01,14,NY,New York ,New York NY
2004-12-01,9,NY,New York ,New York NY
2005-01-01,15,NY,New York ,New York NY
2005-02-01,20,NY,New York ,New York NY
2005-03-01,16,NY,New York ,New York NY
2005-04-01,21,NY,New York ,New York NY
2005-05-01,16,NY,New York ,New York NY
2005-06-01,17,NY,New York ,New York NY
2005-07-01,17,NY,New York ,New York NY
2005-08-01,20,NY,New York ,New York NY
2005-09-01,18,NY,New York ,New York NY
2005-10-01,18,NY,New York ,New York NY
2005-11-01,10,NY,New York ,New York NY
2005-12-01,11,NY,New York ,New York NY
2006-01-01,16,NY,New York ,New York NY
2006-02-01,13,NY,New York ,New York NY
2006-03-01,17,NY,New York ,New York NY
2006-04-01,20,NY,New York ,New York NY
2006-05-01,14,NY,New York ,New York NY
2006-06-01,13,NY,New York ,New York NY
2006-07-01,15,NY,New York ,New York NY
2006-08-01,19,NY,New York ,New York NY
2006-09-01,13,NY,New York ,New York NY
2006-10-01,13,NY,New York ,New York NY
2006-11-01,15,NY,New York ,New York NY
2006-12-01,13,NY,New York ,New York NY
2007-01-01,15,NY,New York ,New York NY
2007-02-01,17,NY,New York ,New York NY
2007-03-01,16,NY,New York ,New York NY
2007-04-01,19,NY,New York ,New York NY
2007-05-01,19,NY,New York ,New York NY
2007-06-01,16,NY,New York ,New York NY
2007-07-01,23,NY,New York ,New York NY
2007-08-01,20,NY,New York ,New York NY
2007-09-01,17,NY,New York ,New York NY
2007-10-01,16,NY,New York ,New York NY
2007-11-01,15,NY,New York ,New York NY
2007-12-01,13,NY,New York ,New York NY
2008-01-01,19,NY,New York ,New York NY
2008-02-01,21,NY,New York ,New York NY
2008-03-01,18,NY,New York ,New York NY
2008-04-01,24,NY,New York ,New York NY
2008-05-01,22,NY,New York ,New York NY
2008-06-01,18,NY,New York ,New York NY
2008-07-01,22,NY,New York ,New York NY
2008-08-01,23,NY,New York ,New York NY
2008-09-01,18,NY,New York ,New York NY
2008-10-01,17,NY,New York ,New York NY
2008-11-01,14,NY,New York ,New York NY
2008-12-01,18,NY,New York ,New York NY
2009-01-01,22,NY,New York ,New York NY
2009-02-01,20,NY,New York ,New York NY
2009-03-01,24,NY,New York ,New York NY
2009-04-01,22,NY,New York ,New York NY
2009-05-01,23,NY,New York ,New York NY
2009-06-01,26,NY,New York ,New York NY
2009-07-01,27,NY,New York ,New York NY
2009-08-01,25,NY,New York ,New York NY
2009-09-01,23,NY,New York ,New York NY
2009-10-01,24,NY,New York ,New York NY
2009-11-01,23,NY,New York ,New York NY
2009-12-01,20,NY,New York ,New York NY
2010-01-01,24,NY,New York ,New York NY
2010-02-01,26,NY,New York ,New York NY
2010-03-01,24,NY,New York ,New York NY
2010-04-01,26,NY,New York ,New York NY
2010-05-01,25,NY,New York ,New York NY
2010-06-01,27,NY,New York ,New York NY
2010-07-01,27,NY,New York ,New York NY
2010-08-01,28,NY,New York ,New York NY
2010-09-01,25,NY,New York ,New York NY
2010-10-01,25,NY,New York ,New York NY
2010-11-01,23,NY,New York ,New York NY
2010-12-01,21,NY,New York ,New York NY
2011-01-01,23,NY,New York ,New York NY
2011-02-01,23,NY,New York ,New York NY
2011-03-01,26,NY,New York ,New York NY
2011-04-01,25,NY,New York ,New York NY
2011-05-01,31,NY,New York ,New York NY
2011-06-01,26,NY,New York ,New York NY
2011-07-01,29,NY,New York ,New York NY
2011-08-01,26,NY,New York ,New York NY
2011-09-01,24,NY,New York ,New York NY
2011-10-01,25,NY,New York ,New York NY
2011-11-01,22,NY,New York ,New York NY
2011-12-01,20,NY,New York ,New York NY
2012-01-01,28,NY,New York ,New York NY
2012-02-01,30,NY,New York ,New York NY
2012-03-01,33,NY,New York ,New York NY
2012-04-01,30,NY,New York ,New York NY
2012-05-01,33,NY,New York ,New York NY
2012-06-01,30,NY,New York ,New York NY
2012-07-01,31,NY,New York ,New York NY
2012-08-01,32,NY,New York ,New York NY
2012-09-01,29,NY,New York ,New York NY
2012-10-01,27,NY,New York ,New York NY
2012-11-01,20,NY,New York ,New York NY
2012-12-01,21,NY,New York ,New York NY
2013-01-01,30,NY,New York ,New York NY
2013-02-01,30,NY,New York ,New York NY
2013-03-01,34,NY,New York ,New York NY
2013-04-01,36,NY,New York ,New York NY
2013-05-01,36,NY,New York ,New York NY
2013-06-01,33,NY,New York ,New York NY
2013-07-01,33,NY,New York ,New York NY
2013-08-01,31,NY,New York ,New York NY
2013-09-01,27,NY,New York ,New York NY
2013-10-01,30,NY,New York ,New York NY
2013-11-01,27,NY,New York ,New York NY
2013-12-01,25,NY,New York ,New York NY
2014-01-01,30,NY,New York ,New York NY
2014-02-01,26,NY,New York ,New York NY
2014-03-01,31,NY,New York ,New York NY
2014-04-01,31,NY,New York ,New York NY
2014-05-01,32,NY,New York ,New York NY
2014-06-01,32,NY,New York ,New York NY
2014-07-01,35,NY,New York ,New York NY
2014-08-01,36,NY,New York ,New York NY
2014-09-01,34,NY,New York ,New York NY
2014-10-01,31,NY,New York ,New York NY
2014-11-01,32,NY,New York ,New York NY
2014-12-01,29,NY,New York ,New York NY
2015-01-01,38,NY,New York ,New York NY
2015-02-01,37,NY,New York ,New York NY
2015-03-01,40,NY,New York ,New York NY
2015-04-01,46,NY,New York ,New York NY
2015-05-01,47,NY,New York ,New York NY
2015-06-01,50,NY,New York ,New York NY
2015-07-01,51,NY,New York ,New York NY
2015-08-01,55,NY,New York ,New York NY
2015-09-01,45,NY,New York ,New York NY
2015-10-01,42,NY,New York ,New York NY
2015-11-01,40,NY,New York ,New York NY
2015-12-01,38,NY,New York ,New York NY
2016-01-01,48,NY,New York ,New York NY
2016-02-01,56,NY,New York ,New York NY
2016-03-01,58,NY,New York ,New York NY
2016-04-01,60,NY,New York ,New York NY
2016-05-01,60,NY,New York ,New York NY
2016-06-01,58,NY,New York ,New York NY
2016-07-01,65,NY,New York ,New York NY
2016-08-01,60,NY,New York ,New York NY
2016-09-01,54,NY,New York ,New York NY
2016-10-01,51,NY,New York ,New York NY
2016-11-01,46,NY,New York ,New York NY
2016-12-01,43,NY,New York ,New York NY
2017-01-01,56,NY,New York ,New York NY
2017-02-01,58,NY,New York ,New York NY
2017-03-01,55,NY,New York ,New York NY
2017-04-01,60,NY,New York ,New York NY
2017-05-01,61,NY,New York ,New York NY
2017-06-01,59,NY,New York ,New York NY
2017-07-01,68,NY,New York ,New York NY
2017-08-01,60,NY,New York ,New York NY
2017-09-01,56,NY,New York ,New York NY
2017-10-01,53,NY,New York ,New York NY
2017-11-01,51,NY,New York ,New York NY
