date,house for sale,State,DMA,Full
2004-01-01,0,AZ,Phoenix ,Phoenix AZ
2004-02-01,0,AZ,Phoenix ,Phoenix AZ
2004-03-01,25,AZ,Phoenix ,Phoenix AZ
2004-04-01,0,AZ,Phoenix ,Phoenix AZ
2004-05-01,34,AZ,Phoenix ,Phoenix AZ
2004-06-01,21,AZ,Phoenix ,Phoenix AZ
2004-07-01,0,AZ,Phoenix ,Phoenix AZ
2004-08-01,17,AZ,Phoenix ,Phoenix AZ
2004-09-01,18,AZ,Phoenix ,Phoenix AZ
2004-10-01,38,AZ,Phoenix ,Phoenix AZ
2004-11-01,28,AZ,Phoenix ,Phoenix AZ
2004-12-01,0,AZ,Phoenix ,Phoenix AZ
2005-01-01,19,AZ,Phoenix ,Phoenix AZ
2005-02-01,25,AZ,Phoenix ,Phoenix AZ
2005-03-01,53,AZ,Phoenix ,Phoenix AZ
2005-04-01,38,AZ,Phoenix ,Phoenix AZ
2005-05-01,33,AZ,Phoenix ,Phoenix AZ
2005-06-01,0,AZ,Phoenix ,Phoenix AZ
2005-07-01,39,AZ,Phoenix ,Phoenix AZ
2005-08-01,26,AZ,Phoenix ,Phoenix AZ
2005-09-01,14,AZ,Phoenix ,Phoenix AZ
2005-10-01,36,AZ,Phoenix ,Phoenix AZ
2005-11-01,21,AZ,Phoenix ,Phoenix AZ
2005-12-01,42,AZ,Phoenix ,Phoenix AZ
2006-01-01,32,AZ,Phoenix ,Phoenix AZ
2006-02-01,28,AZ,Phoenix ,Phoenix AZ
2006-03-01,30,AZ,Phoenix ,Phoenix AZ
2006-04-01,47,AZ,Phoenix ,Phoenix AZ
2006-05-01,22,AZ,Phoenix ,Phoenix AZ
2006-06-01,23,AZ,Phoenix ,Phoenix AZ
2006-07-01,37,AZ,Phoenix ,Phoenix AZ
2006-08-01,27,AZ,Phoenix ,Phoenix AZ
2006-09-01,52,AZ,Phoenix ,Phoenix AZ
2006-10-01,33,AZ,Phoenix ,Phoenix AZ
2006-11-01,29,AZ,Phoenix ,Phoenix AZ
2006-12-01,14,AZ,Phoenix ,Phoenix AZ
2007-01-01,21,AZ,Phoenix ,Phoenix AZ
2007-02-01,22,AZ,Phoenix ,Phoenix AZ
2007-03-01,33,AZ,Phoenix ,Phoenix AZ
2007-04-01,19,AZ,Phoenix ,Phoenix AZ
2007-05-01,23,AZ,Phoenix ,Phoenix AZ
2007-06-01,41,AZ,Phoenix ,Phoenix AZ
2007-07-01,54,AZ,Phoenix ,Phoenix AZ
2007-08-01,36,AZ,Phoenix ,Phoenix AZ
2007-09-01,26,AZ,Phoenix ,Phoenix AZ
2007-10-01,41,AZ,Phoenix ,Phoenix AZ
2007-11-01,23,AZ,Phoenix ,Phoenix AZ
2007-12-01,22,AZ,Phoenix ,Phoenix AZ
2008-01-01,32,AZ,Phoenix ,Phoenix AZ
2008-02-01,42,AZ,Phoenix ,Phoenix AZ
2008-03-01,40,AZ,Phoenix ,Phoenix AZ
2008-04-01,34,AZ,Phoenix ,Phoenix AZ
2008-05-01,43,AZ,Phoenix ,Phoenix AZ
2008-06-01,35,AZ,Phoenix ,Phoenix AZ
2008-07-01,28,AZ,Phoenix ,Phoenix AZ
2008-08-01,42,AZ,Phoenix ,Phoenix AZ
2008-09-01,39,AZ,Phoenix ,Phoenix AZ
2008-10-01,24,AZ,Phoenix ,Phoenix AZ
2008-11-01,39,AZ,Phoenix ,Phoenix AZ
2008-12-01,21,AZ,Phoenix ,Phoenix AZ
2009-01-01,28,AZ,Phoenix ,Phoenix AZ
2009-02-01,39,AZ,Phoenix ,Phoenix AZ
2009-03-01,38,AZ,Phoenix ,Phoenix AZ
2009-04-01,46,AZ,Phoenix ,Phoenix AZ
2009-05-01,36,AZ,Phoenix ,Phoenix AZ
2009-06-01,44,AZ,Phoenix ,Phoenix AZ
2009-07-01,40,AZ,Phoenix ,Phoenix AZ
2009-08-01,46,AZ,Phoenix ,Phoenix AZ
2009-09-01,29,AZ,Phoenix ,Phoenix AZ
2009-10-01,42,AZ,Phoenix ,Phoenix AZ
2009-11-01,36,AZ,Phoenix ,Phoenix AZ
2009-12-01,31,AZ,Phoenix ,Phoenix AZ
2010-01-01,48,AZ,Phoenix ,Phoenix AZ
2010-02-01,40,AZ,Phoenix ,Phoenix AZ
2010-03-01,39,AZ,Phoenix ,Phoenix AZ
2010-04-01,43,AZ,Phoenix ,Phoenix AZ
2010-05-01,47,AZ,Phoenix ,Phoenix AZ
2010-06-01,47,AZ,Phoenix ,Phoenix AZ
2010-07-01,47,AZ,Phoenix ,Phoenix AZ
2010-08-01,41,AZ,Phoenix ,Phoenix AZ
2010-09-01,42,AZ,Phoenix ,Phoenix AZ
2010-10-01,45,AZ,Phoenix ,Phoenix AZ
2010-11-01,37,AZ,Phoenix ,Phoenix AZ
2010-12-01,45,AZ,Phoenix ,Phoenix AZ
2011-01-01,43,AZ,Phoenix ,Phoenix AZ
2011-02-01,52,AZ,Phoenix ,Phoenix AZ
2011-03-01,51,AZ,Phoenix ,Phoenix AZ
2011-04-01,47,AZ,Phoenix ,Phoenix AZ
2011-05-01,45,AZ,Phoenix ,Phoenix AZ
2011-06-01,56,AZ,Phoenix ,Phoenix AZ
2011-07-01,59,AZ,Phoenix ,Phoenix AZ
2011-08-01,52,AZ,Phoenix ,Phoenix AZ
2011-09-01,49,AZ,Phoenix ,Phoenix AZ
2011-10-01,47,AZ,Phoenix ,Phoenix AZ
2011-11-01,40,AZ,Phoenix ,Phoenix AZ
2011-12-01,45,AZ,Phoenix ,Phoenix AZ
2012-01-01,55,AZ,Phoenix ,Phoenix AZ
2012-02-01,49,AZ,Phoenix ,Phoenix AZ
2012-03-01,52,AZ,Phoenix ,Phoenix AZ
2012-04-01,58,AZ,Phoenix ,Phoenix AZ
2012-05-01,49,AZ,Phoenix ,Phoenix AZ
2012-06-01,53,AZ,Phoenix ,Phoenix AZ
2012-07-01,48,AZ,Phoenix ,Phoenix AZ
2012-08-01,47,AZ,Phoenix ,Phoenix AZ
2012-09-01,42,AZ,Phoenix ,Phoenix AZ
2012-10-01,37,AZ,Phoenix ,Phoenix AZ
2012-11-01,42,AZ,Phoenix ,Phoenix AZ
2012-12-01,34,AZ,Phoenix ,Phoenix AZ
2013-01-01,55,AZ,Phoenix ,Phoenix AZ
2013-02-01,47,AZ,Phoenix ,Phoenix AZ
2013-03-01,47,AZ,Phoenix ,Phoenix AZ
2013-04-01,50,AZ,Phoenix ,Phoenix AZ
2013-05-01,42,AZ,Phoenix ,Phoenix AZ
2013-06-01,52,AZ,Phoenix ,Phoenix AZ
2013-07-01,49,AZ,Phoenix ,Phoenix AZ
2013-08-01,53,AZ,Phoenix ,Phoenix AZ
2013-09-01,40,AZ,Phoenix ,Phoenix AZ
