date,house for sale,State,DMA,Full
2004-01-01,60,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2004-02-01,62,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2004-03-01,74,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2004-04-01,52,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2004-05-01,70,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2004-06-01,23,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2004-07-01,21,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2004-08-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2004-09-01,37,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2004-10-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2004-11-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2004-12-01,37,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2005-01-01,26,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2005-02-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2005-03-01,12,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2005-04-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2005-05-01,28,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2005-06-01,45,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2005-07-01,59,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2005-08-01,13,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2005-09-01,35,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2005-10-01,26,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2005-11-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2005-12-01,28,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2006-01-01,26,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
2006-02-01,18,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
