date,house for sale,State,DMA,Full
2004-01-01,8,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2004-02-01,11,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2004-03-01,21,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2004-04-01,19,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2004-05-01,17,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2004-06-01,20,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2004-07-01,17,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2004-08-01,28,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2004-09-01,26,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2004-10-01,17,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2004-11-01,15,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2004-12-01,22,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2005-01-01,15,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2005-02-01,18,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2005-03-01,29,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2005-04-01,27,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2005-05-01,25,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2005-06-01,19,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2005-07-01,28,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2005-08-01,25,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2005-09-01,12,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2005-10-01,26,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2005-11-01,22,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2005-12-01,12,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2006-01-01,26,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2006-02-01,30,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2006-03-01,24,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2006-04-01,26,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2006-05-01,22,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2006-06-01,21,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2006-07-01,23,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2006-08-01,20,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2006-09-01,22,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2006-10-01,17,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2006-11-01,8,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2006-12-01,18,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2007-01-01,19,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2007-02-01,26,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2007-03-01,30,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2007-04-01,18,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2007-05-01,16,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2007-06-01,25,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2007-07-01,23,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2007-08-01,17,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2007-09-01,19,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2007-10-01,19,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2007-11-01,17,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2007-12-01,19,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2008-01-01,23,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2008-02-01,24,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2008-03-01,29,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2008-04-01,27,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2008-05-01,20,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2008-06-01,23,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2008-07-01,25,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2008-08-01,21,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2008-09-01,21,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2008-10-01,17,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2008-11-01,17,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2008-12-01,16,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2009-01-01,21,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2009-02-01,24,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2009-03-01,23,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2009-04-01,23,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2009-05-01,21,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2009-06-01,22,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2009-07-01,20,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2009-08-01,22,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2009-09-01,17,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2009-10-01,20,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2009-11-01,17,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2009-12-01,17,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2010-01-01,20,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2010-02-01,20,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2010-03-01,23,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2010-04-01,23,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2010-05-01,19,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
2010-06-01,20,D),Washington DC (Hagerstown M,Washington DC (Hagerstown MD)
