date,house for sale,State
2004-01-01,0,AK
2004-02-01,0,AK
2004-03-01,100,AK
2004-04-01,0,AK
2004-05-01,76,AK
2004-06-01,0,AK
2004-07-01,81,AK
2004-08-01,0,AK
2004-09-01,0,AK
2004-10-01,87,AK
2004-11-01,45,AK
2004-12-01,0,AK
2005-01-01,0,AK
2005-02-01,80,AK
2005-03-01,37,AK
2005-04-01,0,AK
2005-05-01,0,AK
2005-06-01,54,AK
2005-07-01,33,AK
2005-08-01,71,AK
2005-09-01,0,AK
2005-10-01,0,AK
2005-11-01,0,AK
2005-12-01,49,AK
2006-01-01,0,AK
2006-02-01,47,AK
2006-03-01,75,AK
2006-04-01,34,AK
2006-05-01,21,AK
2006-06-01,0,AK
2006-07-01,0,AK
2006-08-01,0,AK
2006-09-01,0,AK
2006-10-01,0,AK
2006-11-01,26,AK
2006-12-01,0,AK
2007-01-01,0,AK
2007-02-01,67,AK
2007-03-01,36,AK
2007-04-01,0,AK
2007-05-01,35,AK
2007-06-01,37,AK
2007-07-01,33,AK
2007-08-01,81,AK
2007-09-01,0,AK
2007-10-01,0,AK
2007-11-01,0,AK
2007-12-01,27,AK
2008-01-01,27,AK
2008-02-01,36,AK
2008-03-01,17,AK
2008-04-01,0,AK
2008-05-01,44,AK
2008-06-01,51,AK
2008-07-01,13,AK
2008-08-01,25,AK
2008-09-01,0,AK
2008-10-01,35,AK
2008-11-01,39,AK
2008-12-01,0,AK
2009-01-01,0,AK
2009-02-01,34,AK
2009-03-01,38,AK
2009-04-01,37,AK
2009-05-01,44,AK
2009-06-01,12,AK
2009-07-01,0,AK
2009-08-01,32,AK
2009-09-01,39,AK
2009-10-01,0,AK
2009-11-01,0,AK
2009-12-01,0,AK
2010-01-01,58,AK
2010-02-01,26,AK
2010-03-01,16,AK
2010-04-01,27,AK
2010-05-01,32,AK
2010-06-01,44,AK
2010-07-01,36,AK
2010-08-01,22,AK
2010-09-01,46,AK
2010-10-01,19,AK
2010-11-01,21,AK
2010-12-01,10,AK
2011-01-01,28,AK
2011-02-01,34,AK
2011-03-01,28,AK
2011-04-01,48,AK
2011-05-01,39,AK
2011-06-01,18,AK
2011-07-01,49,AK
2011-08-01,34,AK
2011-09-01,33,AK
2011-10-01,30,AK
2011-11-01,28,AK
2011-12-01,26,AK
2012-01-01,46,AK
2012-02-01,42,AK
2012-03-01,41,AK
2012-04-01,33,AK
2012-05-01,59,AK
2012-06-01,25,AK
2012-07-01,57,AK
2012-08-01,36,AK
2012-09-01,21,AK
2012-10-01,36,AK
2012-11-01,24,AK
2012-12-01,20,AK
2013-01-01,19,AK
2013-02-01,37,AK
2013-03-01,47,AK
2013-04-01,34,AK
2013-05-01,41,AK
2013-06-01,49,AK
2013-07-01,44,AK
2013-08-01,44,AK
2013-09-01,20,AK
2013-10-01,14,AK
2013-11-01,32,AK
2013-12-01,32,AK
2014-01-01,39,AK
2014-02-01,49,AK
2014-03-01,30,AK
2014-04-01,41,AK
2014-05-01,38,AK
2014-06-01,43,AK
2014-07-01,41,AK
2014-08-01,38,AK
2014-09-01,36,AK
2014-10-01,25,AK
2014-11-01,39,AK
2014-12-01,39,AK
2015-01-01,51,AK
2015-02-01,33,AK
2015-03-01,45,AK
2015-04-01,60,AK
2015-05-01,55,AK
2015-06-01,33,AK
2015-07-01,54,AK
2015-08-01,53,AK
2015-09-01,41,AK
2015-10-01,32,AK
2015-11-01,26,AK
2015-12-01,39,AK
2016-01-01,45,AK
2016-02-01,31,AK
2016-03-01,59,AK
2016-04-01,79,AK
2016-05-01,59,AK
2016-06-01,62,AK
2016-07-01,62,AK
2016-08-01,58,AK
2016-09-01,74,AK
2016-10-01,24,AK
2016-11-01,43,AK
2016-12-01,42,AK
2017-01-01,52,AK
2017-02-01,41,AK
2017-03-01,53,AK
2017-04-01,60,AK
2017-05-01,56,AK
2017-06-01,39,AK
2017-07-01,61,AK
2017-08-01,49,AK
2017-09-01,44,AK
2017-10-01,26,AK
2017-11-01,46,AK
2017-12-01,35,AK
2018-01-01,44,AK
2018-02-01,52,AK
2018-03-01,47,AK
2018-04-01,57,AK
2018-05-01,59,AK
2018-06-01,41,AK
2018-07-01,60,AK
2018-08-01,36,AK
2018-09-01,55,AK
2018-10-01,43,AK
2018-11-01,49,AK
2018-12-01,15,AK
2019-01-01,63,AK
2019-02-01,58,AK
2019-03-01,61,AK
2019-04-01,50,AK
2019-05-01,39,AK
2019-06-01,54,AK
2019-07-01,70,AK
2019-08-01,53,AK
2019-09-01,46,AK
2019-10-01,54,AK
2019-11-01,49,AK
2019-12-01,44,AK
2020-01-01,55,AK
2020-02-01,56,AK
2020-03-01,35,AK
2020-04-01,51,AK
2020-05-01,80,AK
2020-06-01,89,AK
2020-07-01,71,AK
2020-08-01,71,AK
2020-09-01,63,AK
2020-10-01,60,AK
2020-11-01,60,AK
2020-12-01,45,AK
