date,house for sale,State
2004-01-01,0,CO
2004-02-01,51,CO
2004-03-01,36,CO
2004-04-01,30,CO
2004-05-01,0,CO
2004-06-01,31,CO
2004-07-01,36,CO
2004-08-01,18,CO
2004-09-01,15,CO
2004-10-01,0,CO
2004-11-01,17,CO
2004-12-01,19,CO
2005-01-01,9,CO
2005-02-01,12,CO
2005-03-01,0,CO
2005-04-01,14,CO
2005-05-01,20,CO
2005-06-01,0,CO
2005-07-01,29,CO
2005-08-01,29,CO
2005-09-01,12,CO
2005-10-01,26,CO
2005-11-01,0,CO
2005-12-01,11,CO
2006-01-01,15,CO
2006-02-01,19,CO
2006-03-01,40,CO
2006-04-01,13,CO
2006-05-01,31,CO
2006-06-01,35,CO
2006-07-01,48,CO
2006-08-01,39,CO
2006-09-01,16,CO
2006-10-01,24,CO
2006-11-01,16,CO
2006-12-01,33,CO
2007-01-01,23,CO
2007-02-01,21,CO
2007-03-01,16,CO
2007-04-01,33,CO
2007-05-01,28,CO
2007-06-01,31,CO
2007-07-01,35,CO
2007-08-01,38,CO
2007-09-01,18,CO
2007-10-01,33,CO
2007-11-01,24,CO
2007-12-01,15,CO
2008-01-01,37,CO
2008-02-01,37,CO
2008-03-01,38,CO
2008-04-01,33,CO
2008-05-01,33,CO
2008-06-01,32,CO
2008-07-01,39,CO
2008-08-01,42,CO
2008-09-01,34,CO
2008-10-01,25,CO
2008-11-01,34,CO
2008-12-01,22,CO
2009-01-01,37,CO
2009-02-01,32,CO
2009-03-01,44,CO
2009-04-01,43,CO
2009-05-01,45,CO
2009-06-01,41,CO
2009-07-01,33,CO
2009-08-01,47,CO
2009-09-01,37,CO
2009-10-01,27,CO
2009-11-01,39,CO
2009-12-01,27,CO
2010-01-01,49,CO
2010-02-01,41,CO
2010-03-01,46,CO
2010-04-01,46,CO
2010-05-01,36,CO
2010-06-01,49,CO
2010-07-01,52,CO
2010-08-01,37,CO
2010-09-01,38,CO
2010-10-01,47,CO
2010-11-01,38,CO
2010-12-01,45,CO
2011-01-01,38,CO
2011-02-01,42,CO
2011-03-01,39,CO
2011-04-01,44,CO
2011-05-01,46,CO
2011-06-01,48,CO
2011-07-01,48,CO
2011-08-01,42,CO
2011-09-01,39,CO
2011-10-01,33,CO
2011-11-01,37,CO
2011-12-01,34,CO
2012-01-01,43,CO
2012-02-01,49,CO
2012-03-01,53,CO
2012-04-01,54,CO
2012-05-01,44,CO
2012-06-01,47,CO
2012-07-01,48,CO
2012-08-01,49,CO
2012-09-01,45,CO
2012-10-01,40,CO
2012-11-01,39,CO
2012-12-01,36,CO
2013-01-01,52,CO
2013-02-01,50,CO
2013-03-01,59,CO
2013-04-01,57,CO
2013-05-01,53,CO
2013-06-01,52,CO
2013-07-01,53,CO
2013-08-01,49,CO
2013-09-01,46,CO
2013-10-01,44,CO
2013-11-01,38,CO
2013-12-01,35,CO
2014-01-01,43,CO
2014-02-01,47,CO
2014-03-01,56,CO
2014-04-01,49,CO
2014-05-01,57,CO
2014-06-01,62,CO
2014-07-01,50,CO
2014-08-01,44,CO
2014-09-01,49,CO
2014-10-01,48,CO
2014-11-01,40,CO
2014-12-01,49,CO
2015-01-01,64,CO
2015-02-01,53,CO
2015-03-01,73,CO
2015-04-01,72,CO
2015-05-01,76,CO
2015-06-01,83,CO
2015-07-01,90,CO
2015-08-01,69,CO
2015-09-01,67,CO
2015-10-01,65,CO
2015-11-01,59,CO
2015-12-01,47,CO
2016-01-01,69,CO
2016-02-01,60,CO
2016-03-01,78,CO
2016-04-01,80,CO
2016-05-01,78,CO
2016-06-01,78,CO
2016-07-01,85,CO
2016-08-01,76,CO
2016-09-01,70,CO
2016-10-01,67,CO
2016-11-01,55,CO
2016-12-01,55,CO
2017-01-01,70,CO
2017-02-01,73,CO
2017-03-01,75,CO
2017-04-01,75,CO
2017-05-01,75,CO
2017-06-01,82,CO
2017-07-01,89,CO
2017-08-01,86,CO
2017-09-01,68,CO
2017-10-01,70,CO
2017-11-01,61,CO
2017-12-01,59,CO
2018-01-01,64,CO
2018-02-01,76,CO
2018-03-01,80,CO
2018-04-01,82,CO
2018-05-01,79,CO
2018-06-01,75,CO
2018-07-01,80,CO
2018-08-01,74,CO
2018-09-01,72,CO
2018-10-01,65,CO
2018-11-01,62,CO
2018-12-01,53,CO
2019-01-01,70,CO
2019-02-01,69,CO
2019-03-01,77,CO
2019-04-01,87,CO
2019-05-01,84,CO
2019-06-01,83,CO
2019-07-01,84,CO
2019-08-01,82,CO
2019-09-01,75,CO
2019-10-01,68,CO
2019-11-01,65,CO
2019-12-01,65,CO
2020-01-01,73,CO
2020-02-01,75,CO
2020-03-01,71,CO
2020-04-01,78,CO
2020-05-01,94,CO
2020-06-01,96,CO
2020-07-01,100,CO
2020-08-01,92,CO
2020-09-01,84,CO
2020-10-01,83,CO
2020-11-01,67,CO
2020-12-01,71,CO
