date,house for sale,State
2004-01-01,0,DC
2004-02-01,23,DC
2004-03-01,47,DC
2004-04-01,66,DC
2004-05-01,0,DC
2004-06-01,50,DC
2004-07-01,49,DC
2004-08-01,22,DC
2004-09-01,28,DC
2004-10-01,65,DC
2004-11-01,19,DC
2004-12-01,15,DC
2005-01-01,13,DC
2005-02-01,14,DC
2005-03-01,28,DC
2005-04-01,38,DC
2005-05-01,12,DC
2005-06-01,0,DC
2005-07-01,34,DC
2005-08-01,23,DC
2005-09-01,19,DC
2005-10-01,21,DC
2005-11-01,28,DC
2005-12-01,35,DC
2006-01-01,38,DC
2006-02-01,41,DC
2006-03-01,22,DC
2006-04-01,37,DC
2006-05-01,35,DC
2006-06-01,24,DC
2006-07-01,37,DC
2006-08-01,24,DC
2006-09-01,28,DC
2006-10-01,24,DC
2006-11-01,12,DC
2006-12-01,23,DC
2007-01-01,21,DC
2007-02-01,32,DC
2007-03-01,45,DC
2007-04-01,32,DC
2007-05-01,10,DC
2007-06-01,45,DC
2007-07-01,29,DC
2007-08-01,33,DC
2007-09-01,20,DC
2007-10-01,28,DC
2007-11-01,22,DC
2007-12-01,16,DC
2008-01-01,35,DC
2008-02-01,37,DC
2008-03-01,37,DC
2008-04-01,43,DC
2008-05-01,34,DC
2008-06-01,35,DC
2008-07-01,42,DC
2008-08-01,33,DC
2008-09-01,34,DC
2008-10-01,31,DC
2008-11-01,24,DC
2008-12-01,27,DC
2009-01-01,44,DC
2009-02-01,50,DC
2009-03-01,37,DC
2009-04-01,40,DC
2009-05-01,42,DC
2009-06-01,40,DC
2009-07-01,49,DC
2009-08-01,53,DC
2009-09-01,34,DC
2009-10-01,49,DC
2009-11-01,44,DC
2009-12-01,37,DC
2010-01-01,40,DC
2010-02-01,39,DC
2010-03-01,49,DC
2010-04-01,46,DC
2010-05-01,38,DC
2010-06-01,45,DC
2010-07-01,46,DC
2010-08-01,49,DC
2010-09-01,50,DC
2010-10-01,38,DC
2010-11-01,29,DC
2010-12-01,41,DC
2011-01-01,48,DC
2011-02-01,36,DC
2011-03-01,39,DC
2011-04-01,38,DC
2011-05-01,49,DC
2011-06-01,44,DC
2011-07-01,47,DC
2011-08-01,46,DC
2011-09-01,36,DC
2011-10-01,46,DC
2011-11-01,33,DC
2011-12-01,39,DC
2012-01-01,44,DC
2012-02-01,48,DC
2012-03-01,53,DC
2012-04-01,50,DC
2012-05-01,49,DC
2012-06-01,49,DC
2012-07-01,49,DC
2012-08-01,50,DC
2012-09-01,47,DC
2012-10-01,45,DC
2012-11-01,42,DC
2012-12-01,32,DC
2013-01-01,43,DC
2013-02-01,51,DC
2013-03-01,51,DC
2013-04-01,49,DC
2013-05-01,55,DC
2013-06-01,44,DC
2013-07-01,49,DC
2013-08-01,49,DC
2013-09-01,47,DC
2013-10-01,35,DC
2013-11-01,38,DC
2013-12-01,37,DC
2014-01-01,38,DC
2014-02-01,37,DC
2014-03-01,46,DC
2014-04-01,48,DC
2014-05-01,49,DC
2014-06-01,45,DC
2014-07-01,46,DC
2014-08-01,61,DC
2014-09-01,57,DC
2014-10-01,45,DC
2014-11-01,48,DC
2014-12-01,48,DC
2015-01-01,50,DC
2015-02-01,61,DC
2015-03-01,63,DC
2015-04-01,75,DC
2015-05-01,76,DC
2015-06-01,77,DC
2015-07-01,87,DC
2015-08-01,83,DC
2015-09-01,82,DC
2015-10-01,73,DC
2015-11-01,72,DC
2015-12-01,66,DC
2016-01-01,66,DC
2016-02-01,84,DC
2016-03-01,88,DC
2016-04-01,91,DC
2016-05-01,83,DC
2016-06-01,84,DC
2016-07-01,81,DC
2016-08-01,77,DC
2016-09-01,80,DC
2016-10-01,76,DC
2016-11-01,68,DC
2016-12-01,56,DC
2017-01-01,79,DC
2017-02-01,83,DC
2017-03-01,85,DC
2017-04-01,91,DC
2017-05-01,98,DC
2017-06-01,100,DC
2017-07-01,95,DC
2017-08-01,87,DC
2017-09-01,87,DC
2017-10-01,75,DC
2017-11-01,47,DC
2017-12-01,44,DC
2018-01-01,48,DC
2018-02-01,44,DC
2018-03-01,41,DC
2018-04-01,42,DC
2018-05-01,40,DC
2018-06-01,46,DC
2018-07-01,51,DC
2018-08-01,39,DC
2018-09-01,35,DC
2018-10-01,48,DC
2018-11-01,41,DC
2018-12-01,43,DC
2019-01-01,46,DC
2019-02-01,46,DC
2019-03-01,51,DC
2019-04-01,60,DC
2019-05-01,48,DC
2019-06-01,57,DC
2019-07-01,59,DC
2019-08-01,58,DC
2019-09-01,62,DC
2019-10-01,46,DC
2019-11-01,46,DC
2019-12-01,46,DC
2020-01-01,55,DC
2020-02-01,60,DC
2020-03-01,50,DC
2020-04-01,49,DC
2020-05-01,85,DC
2020-06-01,87,DC
2020-07-01,83,DC
2020-08-01,83,DC
2020-09-01,58,DC
2020-10-01,79,DC
2020-11-01,52,DC
2020-12-01,59,DC
