date,house for sale,State
2004-01-01,60,KS
2004-02-01,0,KS
2004-03-01,0,KS
2004-04-01,0,KS
2004-05-01,0,KS
2004-06-01,0,KS
2004-07-01,30,KS
2004-08-01,40,KS
2004-09-01,0,KS
2004-10-01,31,KS
2004-11-01,0,KS
2004-12-01,0,KS
2005-01-01,26,KS
2005-02-01,0,KS
2005-03-01,17,KS
2005-04-01,0,KS
2005-05-01,35,KS
2005-06-01,25,KS
2005-07-01,14,KS
2005-08-01,0,KS
2005-09-01,0,KS
2005-10-01,0,KS
2005-11-01,0,KS
2005-12-01,59,KS
2006-01-01,37,KS
2006-02-01,28,KS
2006-03-01,19,KS
2006-04-01,15,KS
2006-05-01,18,KS
2006-06-01,0,KS
2006-07-01,44,KS
2006-08-01,33,KS
2006-09-01,0,KS
2006-10-01,38,KS
2006-11-01,18,KS
2006-12-01,10,KS
2007-01-01,20,KS
2007-02-01,21,KS
2007-03-01,20,KS
2007-04-01,34,KS
2007-05-01,17,KS
2007-06-01,31,KS
2007-07-01,30,KS
2007-08-01,12,KS
2007-09-01,15,KS
2007-10-01,6,KS
2007-11-01,18,KS
2007-12-01,14,KS
2008-01-01,20,KS
2008-02-01,36,KS
2008-03-01,31,KS
2008-04-01,22,KS
2008-05-01,18,KS
2008-06-01,35,KS
2008-07-01,34,KS
2008-08-01,19,KS
2008-09-01,25,KS
2008-10-01,19,KS
2008-11-01,37,KS
2008-12-01,23,KS
2009-01-01,27,KS
2009-02-01,31,KS
2009-03-01,27,KS
2009-04-01,35,KS
2009-05-01,43,KS
2009-06-01,18,KS
2009-07-01,51,KS
2009-08-01,32,KS
2009-09-01,30,KS
2009-10-01,37,KS
2009-11-01,24,KS
2009-12-01,24,KS
2010-01-01,27,KS
2010-02-01,43,KS
2010-03-01,40,KS
2010-04-01,45,KS
2010-05-01,35,KS
2010-06-01,48,KS
2010-07-01,32,KS
2010-08-01,40,KS
2010-09-01,31,KS
2010-10-01,31,KS
2010-11-01,32,KS
2010-12-01,30,KS
2011-01-01,45,KS
2011-02-01,44,KS
2011-03-01,38,KS
2011-04-01,50,KS
2011-05-01,45,KS
2011-06-01,47,KS
2011-07-01,45,KS
2011-08-01,39,KS
2011-09-01,41,KS
2011-10-01,37,KS
2011-11-01,26,KS
2011-12-01,34,KS
2012-01-01,44,KS
2012-02-01,45,KS
2012-03-01,40,KS
2012-04-01,52,KS
2012-05-01,59,KS
2012-06-01,57,KS
2012-07-01,43,KS
2012-08-01,43,KS
2012-09-01,40,KS
2012-10-01,40,KS
2012-11-01,33,KS
2012-12-01,30,KS
2013-01-01,38,KS
2013-02-01,41,KS
2013-03-01,41,KS
2013-04-01,55,KS
2013-05-01,41,KS
2013-06-01,46,KS
2013-07-01,48,KS
2013-08-01,38,KS
2013-09-01,41,KS
2013-10-01,39,KS
2013-11-01,39,KS
2013-12-01,31,KS
2014-01-01,40,KS
2014-02-01,34,KS
2014-03-01,43,KS
2014-04-01,45,KS
2014-05-01,40,KS
2014-06-01,47,KS
2014-07-01,41,KS
2014-08-01,34,KS
2014-09-01,37,KS
2014-10-01,34,KS
2014-11-01,40,KS
2014-12-01,35,KS
2015-01-01,42,KS
2015-02-01,46,KS
2015-03-01,55,KS
2015-04-01,49,KS
2015-05-01,51,KS
2015-06-01,56,KS
2015-07-01,66,KS
2015-08-01,63,KS
2015-09-01,40,KS
2015-10-01,38,KS
2015-11-01,31,KS
2015-12-01,15,KS
2016-01-01,50,KS
2016-02-01,63,KS
2016-03-01,65,KS
2016-04-01,67,KS
2016-05-01,80,KS
2016-06-01,88,KS
2016-07-01,82,KS
2016-08-01,58,KS
2016-09-01,56,KS
2016-10-01,54,KS
2016-11-01,49,KS
2016-12-01,53,KS
2017-01-01,64,KS
2017-02-01,60,KS
2017-03-01,71,KS
2017-04-01,66,KS
2017-05-01,71,KS
2017-06-01,74,KS
2017-07-01,77,KS
2017-08-01,59,KS
2017-09-01,49,KS
2017-10-01,48,KS
2017-11-01,45,KS
2017-12-01,54,KS
2018-01-01,54,KS
2018-02-01,71,KS
2018-03-01,66,KS
2018-04-01,66,KS
2018-05-01,73,KS
2018-06-01,71,KS
2018-07-01,71,KS
2018-08-01,67,KS
2018-09-01,69,KS
2018-10-01,65,KS
2018-11-01,48,KS
2018-12-01,41,KS
2019-01-01,63,KS
2019-02-01,58,KS
2019-03-01,68,KS
2019-04-01,73,KS
2019-05-01,60,KS
2019-06-01,76,KS
2019-07-01,86,KS
2019-08-01,66,KS
2019-09-01,61,KS
2019-10-01,57,KS
2019-11-01,58,KS
2019-12-01,43,KS
2020-01-01,62,KS
2020-02-01,75,KS
2020-03-01,60,KS
2020-04-01,64,KS
2020-05-01,84,KS
2020-06-01,89,KS
2020-07-01,100,KS
2020-08-01,85,KS
2020-09-01,66,KS
2020-10-01,76,KS
2020-11-01,63,KS
2020-12-01,67,KS
