date,house for sale,State
2004-01-01,0,KY
2004-02-01,0,KY
2004-03-01,0,KY
2004-04-01,0,KY
2004-05-01,0,KY
2004-06-01,100,KY
2004-07-01,0,KY
2004-08-01,0,KY
2004-09-01,0,KY
2004-10-01,32,KY
2004-11-01,0,KY
2004-12-01,21,KY
2005-01-01,17,KY
2005-02-01,0,KY
2005-03-01,73,KY
2005-04-01,0,KY
2005-05-01,31,KY
2005-06-01,50,KY
2005-07-01,30,KY
2005-08-01,0,KY
2005-09-01,0,KY
2005-10-01,0,KY
2005-11-01,37,KY
2005-12-01,27,KY
2006-01-01,0,KY
2006-02-01,0,KY
2006-03-01,27,KY
2006-04-01,34,KY
2006-05-01,8,KY
2006-06-01,33,KY
2006-07-01,35,KY
2006-08-01,26,KY
2006-09-01,9,KY
2006-10-01,13,KY
2006-11-01,0,KY
2006-12-01,18,KY
2007-01-01,5,KY
2007-02-01,16,KY
2007-03-01,22,KY
2007-04-01,16,KY
2007-05-01,16,KY
2007-06-01,19,KY
2007-07-01,28,KY
2007-08-01,15,KY
2007-09-01,29,KY
2007-10-01,28,KY
2007-11-01,22,KY
2007-12-01,18,KY
2008-01-01,31,KY
2008-02-01,23,KY
2008-03-01,32,KY
2008-04-01,28,KY
2008-05-01,24,KY
2008-06-01,20,KY
2008-07-01,22,KY
2008-08-01,30,KY
2008-09-01,29,KY
2008-10-01,20,KY
2008-11-01,30,KY
2008-12-01,20,KY
2009-01-01,30,KY
2009-02-01,30,KY
2009-03-01,34,KY
2009-04-01,27,KY
2009-05-01,40,KY
2009-06-01,41,KY
2009-07-01,46,KY
2009-08-01,41,KY
2009-09-01,24,KY
2009-10-01,28,KY
2009-11-01,23,KY
2009-12-01,28,KY
2010-01-01,26,KY
2010-02-01,25,KY
2010-03-01,43,KY
2010-04-01,40,KY
2010-05-01,36,KY
2010-06-01,35,KY
2010-07-01,39,KY
2010-08-01,46,KY
2010-09-01,44,KY
2010-10-01,30,KY
2010-11-01,20,KY
2010-12-01,23,KY
2011-01-01,44,KY
2011-02-01,44,KY
2011-03-01,40,KY
2011-04-01,47,KY
2011-05-01,51,KY
2011-06-01,54,KY
2011-07-01,62,KY
2011-08-01,52,KY
2011-09-01,45,KY
2011-10-01,32,KY
2011-11-01,39,KY
2011-12-01,32,KY
2012-01-01,40,KY
2012-02-01,41,KY
2012-03-01,50,KY
2012-04-01,58,KY
2012-05-01,44,KY
2012-06-01,58,KY
2012-07-01,56,KY
2012-08-01,52,KY
2012-09-01,52,KY
2012-10-01,37,KY
2012-11-01,36,KY
2012-12-01,41,KY
2013-01-01,53,KY
2013-02-01,57,KY
2013-03-01,55,KY
2013-04-01,69,KY
2013-05-01,57,KY
2013-06-01,59,KY
2013-07-01,56,KY
2013-08-01,54,KY
2013-09-01,44,KY
2013-10-01,40,KY
2013-11-01,39,KY
2013-12-01,38,KY
2014-01-01,47,KY
2014-02-01,44,KY
2014-03-01,46,KY
2014-04-01,50,KY
2014-05-01,55,KY
2014-06-01,60,KY
2014-07-01,62,KY
2014-08-01,55,KY
2014-09-01,48,KY
2014-10-01,44,KY
2014-11-01,42,KY
2014-12-01,42,KY
2015-01-01,52,KY
2015-02-01,58,KY
2015-03-01,60,KY
2015-04-01,71,KY
2015-05-01,68,KY
2015-06-01,67,KY
2015-07-01,74,KY
2015-08-01,65,KY
2015-09-01,63,KY
2015-10-01,52,KY
2015-11-01,47,KY
2015-12-01,45,KY
2016-01-01,72,KY
2016-02-01,66,KY
2016-03-01,71,KY
2016-04-01,89,KY
2016-05-01,89,KY
2016-06-01,82,KY
2016-07-01,81,KY
2016-08-01,69,KY
2016-09-01,71,KY
2016-10-01,65,KY
2016-11-01,54,KY
2016-12-01,52,KY
2017-01-01,70,KY
2017-02-01,73,KY
2017-03-01,67,KY
2017-04-01,81,KY
2017-05-01,87,KY
2017-06-01,82,KY
2017-07-01,89,KY
2017-08-01,77,KY
2017-09-01,71,KY
2017-10-01,66,KY
2017-11-01,57,KY
2017-12-01,60,KY
2018-01-01,63,KY
2018-02-01,75,KY
2018-03-01,75,KY
2018-04-01,75,KY
2018-05-01,86,KY
2018-06-01,91,KY
2018-07-01,86,KY
2018-08-01,87,KY
2018-09-01,77,KY
2018-10-01,65,KY
2018-11-01,64,KY
2018-12-01,64,KY
2019-01-01,74,KY
2019-02-01,83,KY
2019-03-01,79,KY
2019-04-01,90,KY
2019-05-01,86,KY
2019-06-01,96,KY
2019-07-01,93,KY
2019-08-01,88,KY
2019-09-01,76,KY
2019-10-01,69,KY
2019-11-01,62,KY
2019-12-01,58,KY
2020-01-01,75,KY
2020-02-01,73,KY
2020-03-01,64,KY
2020-04-01,75,KY
2020-05-01,91,KY
2020-06-01,87,KY
2020-07-01,97,KY
2020-08-01,90,KY
2020-09-01,77,KY
2020-10-01,80,KY
2020-11-01,71,KY
2020-12-01,67,KY
