date,house for sale,State
2004-01-01,0,NV
2004-02-01,0,NV
2004-03-01,100,NV
2004-04-01,0,NV
2004-05-01,83,NV
2004-06-01,41,NV
2004-07-01,0,NV
2004-08-01,53,NV
2004-09-01,0,NV
2004-10-01,0,NV
2004-11-01,0,NV
2004-12-01,93,NV
2005-01-01,0,NV
2005-02-01,61,NV
2005-03-01,0,NV
2005-04-01,36,NV
2005-05-01,53,NV
2005-06-01,0,NV
2005-07-01,0,NV
2005-08-01,0,NV
2005-09-01,0,NV
2005-10-01,0,NV
2005-11-01,0,NV
2005-12-01,0,NV
2006-01-01,0,NV
2006-02-01,19,NV
2006-03-01,17,NV
2006-04-01,14,NV
2006-05-01,0,NV
2006-06-01,0,NV
2006-07-01,15,NV
2006-08-01,21,NV
2006-09-01,50,NV
2006-10-01,34,NV
2006-11-01,24,NV
2006-12-01,20,NV
2007-01-01,0,NV
2007-02-01,51,NV
2007-03-01,43,NV
2007-04-01,27,NV
2007-05-01,33,NV
2007-06-01,12,NV
2007-07-01,23,NV
2007-08-01,27,NV
2007-09-01,15,NV
2007-10-01,14,NV
2007-11-01,21,NV
2007-12-01,31,NV
2008-01-01,39,NV
2008-02-01,27,NV
2008-03-01,30,NV
2008-04-01,35,NV
2008-05-01,34,NV
2008-06-01,30,NV
2008-07-01,13,NV
2008-08-01,25,NV
2008-09-01,24,NV
2008-10-01,30,NV
2008-11-01,28,NV
2008-12-01,14,NV
2009-01-01,28,NV
2009-02-01,52,NV
2009-03-01,39,NV
2009-04-01,43,NV
2009-05-01,27,NV
2009-06-01,29,NV
2009-07-01,41,NV
2009-08-01,28,NV
2009-09-01,38,NV
2009-10-01,45,NV
2009-11-01,44,NV
2009-12-01,26,NV
2010-01-01,40,NV
2010-02-01,35,NV
2010-03-01,13,NV
2010-04-01,0,NV
2010-05-01,29,NV
2010-06-01,41,NV
2010-07-01,17,NV
2010-08-01,38,NV
2010-09-01,35,NV
2010-10-01,21,NV
2010-11-01,23,NV
2010-12-01,31,NV
2011-01-01,30,NV
2011-02-01,23,NV
2011-03-01,33,NV
2011-04-01,39,NV
2011-05-01,34,NV
2011-06-01,41,NV
2011-07-01,37,NV
2011-08-01,48,NV
2011-09-01,31,NV
2011-10-01,33,NV
2011-11-01,41,NV
2011-12-01,27,NV
2012-01-01,46,NV
2012-02-01,41,NV
2012-03-01,47,NV
2012-04-01,45,NV
2012-05-01,34,NV
2012-06-01,44,NV
2012-07-01,41,NV
2012-08-01,42,NV
2012-09-01,37,NV
2012-10-01,42,NV
2012-11-01,33,NV
2012-12-01,28,NV
2013-01-01,43,NV
2013-02-01,43,NV
2013-03-01,40,NV
2013-04-01,33,NV
2013-05-01,40,NV
2013-06-01,38,NV
2013-07-01,38,NV
2013-08-01,34,NV
2013-09-01,35,NV
2013-10-01,31,NV
2013-11-01,30,NV
2013-12-01,28,NV
2014-01-01,37,NV
2014-02-01,36,NV
2014-03-01,33,NV
2014-04-01,43,NV
2014-05-01,37,NV
2014-06-01,42,NV
2014-07-01,43,NV
2014-08-01,46,NV
2014-09-01,35,NV
2014-10-01,42,NV
2014-11-01,39,NV
2014-12-01,35,NV
2015-01-01,48,NV
2015-02-01,52,NV
2015-03-01,51,NV
2015-04-01,53,NV
2015-05-01,58,NV
2015-06-01,66,NV
2015-07-01,69,NV
2015-08-01,63,NV
2015-09-01,54,NV
2015-10-01,38,NV
2015-11-01,51,NV
2015-12-01,50,NV
2016-01-01,63,NV
2016-02-01,54,NV
2016-03-01,57,NV
2016-04-01,71,NV
2016-05-01,75,NV
2016-06-01,72,NV
2016-07-01,73,NV
2016-08-01,50,NV
2016-09-01,61,NV
2016-10-01,61,NV
2016-11-01,44,NV
2016-12-01,43,NV
2017-01-01,54,NV
2017-02-01,63,NV
2017-03-01,61,NV
2017-04-01,66,NV
2017-05-01,63,NV
2017-06-01,72,NV
2017-07-01,65,NV
2017-08-01,64,NV
2017-09-01,55,NV
2017-10-01,57,NV
2017-11-01,51,NV
2017-12-01,51,NV
2018-01-01,60,NV
2018-02-01,60,NV
2018-03-01,68,NV
2018-04-01,52,NV
2018-05-01,57,NV
2018-06-01,70,NV
2018-07-01,65,NV
2018-08-01,66,NV
2018-09-01,56,NV
2018-10-01,55,NV
2018-11-01,52,NV
2018-12-01,55,NV
2019-01-01,58,NV
2019-02-01,55,NV
2019-03-01,60,NV
2019-04-01,59,NV
2019-05-01,71,NV
2019-06-01,77,NV
2019-07-01,72,NV
2019-08-01,71,NV
2019-09-01,62,NV
2019-10-01,56,NV
2019-11-01,53,NV
2019-12-01,53,NV
2020-01-01,61,NV
2020-02-01,65,NV
2020-03-01,58,NV
2020-04-01,69,NV
2020-05-01,83,NV
2020-06-01,87,NV
2020-07-01,86,NV
2020-08-01,86,NV
2020-09-01,77,NV
2020-10-01,75,NV
2020-11-01,61,NV
2020-12-01,66,NV
