date,house for sale,State
2004-01-01,25,SC
2004-02-01,31,SC
2004-03-01,31,SC
2004-04-01,0,SC
2004-05-01,41,SC
2004-06-01,24,SC
2004-07-01,62,SC
2004-08-01,0,SC
2004-09-01,0,SC
2004-10-01,39,SC
2004-11-01,0,SC
2004-12-01,76,SC
2005-01-01,30,SC
2005-02-01,0,SC
2005-03-01,32,SC
2005-04-01,40,SC
2005-05-01,35,SC
2005-06-01,0,SC
2005-07-01,41,SC
2005-08-01,0,SC
2005-09-01,0,SC
2005-10-01,0,SC
2005-11-01,33,SC
2005-12-01,30,SC
2006-01-01,47,SC
2006-02-01,26,SC
2006-03-01,32,SC
2006-04-01,63,SC
2006-05-01,10,SC
2006-06-01,50,SC
2006-07-01,9,SC
2006-08-01,24,SC
2006-09-01,33,SC
2006-10-01,23,SC
2006-11-01,0,SC
2006-12-01,22,SC
2007-01-01,28,SC
2007-02-01,31,SC
2007-03-01,19,SC
2007-04-01,26,SC
2007-05-01,31,SC
2007-06-01,32,SC
2007-07-01,23,SC
2007-08-01,26,SC
2007-09-01,25,SC
2007-10-01,24,SC
2007-11-01,23,SC
2007-12-01,18,SC
2008-01-01,32,SC
2008-02-01,52,SC
2008-03-01,21,SC
2008-04-01,24,SC
2008-05-01,38,SC
2008-06-01,48,SC
2008-07-01,33,SC
2008-08-01,29,SC
2008-09-01,36,SC
2008-10-01,25,SC
2008-11-01,32,SC
2008-12-01,25,SC
2009-01-01,55,SC
2009-02-01,46,SC
2009-03-01,33,SC
2009-04-01,35,SC
2009-05-01,43,SC
2009-06-01,49,SC
2009-07-01,47,SC
2009-08-01,39,SC
2009-09-01,43,SC
2009-10-01,39,SC
2009-11-01,25,SC
2009-12-01,30,SC
2010-01-01,55,SC
2010-02-01,46,SC
2010-03-01,51,SC
2010-04-01,50,SC
2010-05-01,43,SC
2010-06-01,35,SC
2010-07-01,67,SC
2010-08-01,35,SC
2010-09-01,51,SC
2010-10-01,27,SC
2010-11-01,44,SC
2010-12-01,23,SC
2011-01-01,43,SC
2011-02-01,51,SC
2011-03-01,50,SC
2011-04-01,46,SC
2011-05-01,49,SC
2011-06-01,56,SC
2011-07-01,54,SC
2011-08-01,55,SC
2011-09-01,49,SC
2011-10-01,46,SC
2011-11-01,38,SC
2011-12-01,42,SC
2012-01-01,55,SC
2012-02-01,52,SC
2012-03-01,61,SC
2012-04-01,49,SC
2012-05-01,58,SC
2012-06-01,57,SC
2012-07-01,70,SC
2012-08-01,51,SC
2012-09-01,53,SC
2012-10-01,39,SC
2012-11-01,43,SC
2012-12-01,47,SC
2013-01-01,51,SC
2013-02-01,53,SC
2013-03-01,57,SC
2013-04-01,57,SC
2013-05-01,60,SC
2013-06-01,58,SC
2013-07-01,66,SC
2013-08-01,57,SC
2013-09-01,51,SC
2013-10-01,50,SC
2013-11-01,50,SC
2013-12-01,47,SC
2014-01-01,59,SC
2014-02-01,47,SC
2014-03-01,53,SC
2014-04-01,54,SC
2014-05-01,60,SC
2014-06-01,62,SC
2014-07-01,62,SC
2014-08-01,58,SC
2014-09-01,49,SC
2014-10-01,43,SC
2014-11-01,49,SC
2014-12-01,49,SC
2015-01-01,62,SC
2015-02-01,63,SC
2015-03-01,68,SC
2015-04-01,76,SC
2015-05-01,76,SC
2015-06-01,76,SC
2015-07-01,70,SC
2015-08-01,74,SC
2015-09-01,65,SC
2015-10-01,63,SC
2015-11-01,58,SC
2015-12-01,63,SC
2016-01-01,71,SC
2016-02-01,67,SC
2016-03-01,82,SC
2016-04-01,91,SC
2016-05-01,90,SC
2016-06-01,88,SC
2016-07-01,90,SC
2016-08-01,81,SC
2016-09-01,71,SC
2016-10-01,59,SC
2016-11-01,54,SC
2016-12-01,61,SC
2017-01-01,81,SC
2017-02-01,70,SC
2017-03-01,77,SC
2017-04-01,78,SC
2017-05-01,79,SC
2017-06-01,89,SC
2017-07-01,92,SC
2017-08-01,87,SC
2017-09-01,67,SC
2017-10-01,68,SC
2017-11-01,61,SC
2017-12-01,66,SC
2018-01-01,76,SC
2018-02-01,77,SC
2018-03-01,77,SC
2018-04-01,80,SC
2018-05-01,85,SC
2018-06-01,91,SC
2018-07-01,99,SC
2018-08-01,79,SC
2018-09-01,65,SC
2018-10-01,75,SC
2018-11-01,68,SC
2018-12-01,73,SC
2019-01-01,80,SC
2019-02-01,81,SC
2019-03-01,85,SC
2019-04-01,89,SC
2019-05-01,92,SC
2019-06-01,94,SC
2019-07-01,93,SC
2019-08-01,95,SC
2019-09-01,81,SC
2019-10-01,74,SC
2019-11-01,69,SC
2019-12-01,60,SC
2020-01-01,78,SC
2020-02-01,79,SC
2020-03-01,72,SC
2020-04-01,76,SC
2020-05-01,97,SC
2020-06-01,100,SC
2020-07-01,97,SC
2020-08-01,97,SC
2020-09-01,91,SC
2020-10-01,83,SC
2020-11-01,68,SC
2020-12-01,81,SC
