date,housing,State,DMA,Full
2004-01-01,0,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2004-02-01,42,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2004-03-01,0,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2004-04-01,0,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2004-05-01,0,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2004-06-01,0,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2004-07-01,74,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2004-08-01,98,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2004-09-01,0,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2004-10-01,0,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2004-11-01,0,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2004-12-01,0,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2005-01-01,47,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2005-02-01,0,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2005-03-01,76,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2005-04-01,0,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2005-05-01,53,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2005-06-01,92,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2005-07-01,44,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2005-08-01,73,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2005-09-01,73,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2005-10-01,0,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2005-11-01,84,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2005-12-01,64,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2006-01-01,19,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2006-02-01,44,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2006-03-01,71,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2006-04-01,45,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2006-05-01,0,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2006-06-01,33,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2006-07-01,34,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2006-08-01,32,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2006-09-01,0,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2006-10-01,73,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2006-11-01,48,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2006-12-01,100,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2007-01-01,58,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2007-02-01,60,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2007-03-01,0,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2007-04-01,48,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2007-05-01,0,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2007-06-01,94,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2007-07-01,40,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2007-08-01,15,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2007-09-01,43,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2007-10-01,43,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2007-11-01,38,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2007-12-01,0,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2008-01-01,65,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2008-02-01,42,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2008-03-01,34,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2008-04-01,39,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2008-05-01,37,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2008-06-01,40,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2008-07-01,28,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2008-08-01,69,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2008-09-01,52,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2008-10-01,83,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2008-11-01,23,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2008-12-01,47,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2009-01-01,38,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2009-02-01,17,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2009-03-01,45,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2009-04-01,67,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2009-05-01,42,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2009-06-01,19,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2009-07-01,59,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2009-08-01,46,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2009-09-01,28,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2009-10-01,99,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2009-11-01,62,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2009-12-01,36,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2010-01-01,21,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2010-02-01,72,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2010-03-01,45,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2010-04-01,36,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2010-05-01,39,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2010-06-01,51,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2010-07-01,0,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2010-08-01,84,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2010-09-01,61,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2010-10-01,23,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2010-11-01,56,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2010-12-01,21,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2011-01-01,38,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2011-02-01,40,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2011-03-01,35,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2011-04-01,55,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2011-05-01,33,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2011-06-01,40,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2011-07-01,42,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2011-08-01,58,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2011-09-01,42,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2011-10-01,39,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2011-11-01,33,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2011-12-01,30,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2012-01-01,38,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2012-02-01,32,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2012-03-01,31,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2012-04-01,38,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2012-05-01,59,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2012-06-01,38,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2012-07-01,41,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2012-08-01,31,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2012-09-01,34,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2012-10-01,26,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2012-11-01,22,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2012-12-01,24,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2013-01-01,40,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2013-02-01,34,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2013-03-01,35,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2013-04-01,39,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2013-05-01,33,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2013-06-01,49,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2013-07-01,38,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2013-08-01,44,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2013-09-01,22,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2013-10-01,37,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2013-11-01,28,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2013-12-01,30,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2014-01-01,34,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2014-02-01,43,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2014-03-01,37,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2014-04-01,29,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2014-05-01,31,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2014-06-01,36,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2014-07-01,36,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2014-08-01,33,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2014-09-01,33,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2014-10-01,31,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2014-11-01,35,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2014-12-01,28,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2015-01-01,31,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2015-02-01,30,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2015-03-01,48,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2015-04-01,51,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2015-05-01,33,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2015-06-01,42,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2015-07-01,47,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2015-08-01,43,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2015-09-01,36,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2015-10-01,36,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2015-11-01,31,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2015-12-01,27,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2016-01-01,43,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2016-02-01,42,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2016-03-01,34,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2016-04-01,41,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2016-05-01,37,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2016-06-01,41,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2016-07-01,45,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2016-08-01,38,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2016-09-01,34,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2016-10-01,35,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2016-11-01,34,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2016-12-01,26,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2017-01-01,40,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2017-02-01,36,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2017-03-01,35,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2017-04-01,40,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2017-05-01,40,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2017-06-01,36,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2017-07-01,32,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
2017-08-01,41,IL,Davenport IA-Rock Island-Moline ,Davenport IA-Rock Island-Moline IL
