date,housing,State,DMA,Full
2004-01-01,28,OR,Eugene ,Eugene OR
2004-02-01,27,OR,Eugene ,Eugene OR
2004-03-01,0,OR,Eugene ,Eugene OR
2004-04-01,81,OR,Eugene ,Eugene OR
2004-05-01,73,OR,Eugene ,Eugene OR
2004-06-01,0,OR,Eugene ,Eugene OR
2004-07-01,0,OR,Eugene ,Eugene OR
2004-08-01,67,OR,Eugene ,Eugene OR
2004-09-01,0,OR,Eugene ,Eugene OR
2004-10-01,100,OR,Eugene ,Eugene OR
2004-11-01,74,OR,Eugene ,Eugene OR
2004-12-01,50,OR,Eugene ,Eugene OR
2005-01-01,52,OR,Eugene ,Eugene OR
2005-02-01,58,OR,Eugene ,Eugene OR
2005-03-01,16,OR,Eugene ,Eugene OR
2005-04-01,37,OR,Eugene ,Eugene OR
2005-05-01,77,OR,Eugene ,Eugene OR
2005-06-01,42,OR,Eugene ,Eugene OR
2005-07-01,38,OR,Eugene ,Eugene OR
2005-08-01,45,OR,Eugene ,Eugene OR
2005-09-01,24,OR,Eugene ,Eugene OR
2005-10-01,33,OR,Eugene ,Eugene OR
2005-11-01,55,OR,Eugene ,Eugene OR
2005-12-01,41,OR,Eugene ,Eugene OR
2006-01-01,42,OR,Eugene ,Eugene OR
2006-02-01,32,OR,Eugene ,Eugene OR
2006-03-01,62,OR,Eugene ,Eugene OR
2006-04-01,49,OR,Eugene ,Eugene OR
2006-05-01,43,OR,Eugene ,Eugene OR
2006-06-01,39,OR,Eugene ,Eugene OR
2006-07-01,44,OR,Eugene ,Eugene OR
2006-08-01,59,OR,Eugene ,Eugene OR
2006-09-01,49,OR,Eugene ,Eugene OR
2006-10-01,39,OR,Eugene ,Eugene OR
2006-11-01,33,OR,Eugene ,Eugene OR
2006-12-01,48,OR,Eugene ,Eugene OR
2007-01-01,39,OR,Eugene ,Eugene OR
2007-02-01,49,OR,Eugene ,Eugene OR
2007-03-01,41,OR,Eugene ,Eugene OR
2007-04-01,44,OR,Eugene ,Eugene OR
2007-05-01,43,OR,Eugene ,Eugene OR
2007-06-01,68,OR,Eugene ,Eugene OR
2007-07-01,49,OR,Eugene ,Eugene OR
2007-08-01,38,OR,Eugene ,Eugene OR
2007-09-01,39,OR,Eugene ,Eugene OR
2007-10-01,33,OR,Eugene ,Eugene OR
