date,housing,State,DMA,Full
2004-01-01,0,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2004-02-01,0,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2004-03-01,0,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2004-04-01,0,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2004-05-01,71,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2004-06-01,0,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2004-07-01,0,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2004-08-01,43,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2004-09-01,0,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2004-10-01,0,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2004-11-01,44,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2004-12-01,32,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2005-01-01,0,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2005-02-01,82,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2005-03-01,26,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2005-04-01,0,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2005-05-01,0,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2005-06-01,37,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2005-07-01,0,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2005-08-01,0,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2005-09-01,55,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2005-10-01,25,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2005-11-01,53,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
2005-12-01,0,NC,Greenville-New Bern-Washington ,Greenville-New Bern-Washington NC
