date,housing,State,DMA,Full
2004-01-01,53,WI,Milwaukee ,Milwaukee WI
2004-02-01,84,WI,Milwaukee ,Milwaukee WI
2004-03-01,53,WI,Milwaukee ,Milwaukee WI
2004-04-01,58,WI,Milwaukee ,Milwaukee WI
2004-05-01,98,WI,Milwaukee ,Milwaukee WI
2004-06-01,67,WI,Milwaukee ,Milwaukee WI
2004-07-01,79,WI,Milwaukee ,Milwaukee WI
2004-08-01,76,WI,Milwaukee ,Milwaukee WI
2004-09-01,53,WI,Milwaukee ,Milwaukee WI
2004-10-01,49,WI,Milwaukee ,Milwaukee WI
2004-11-01,29,WI,Milwaukee ,Milwaukee WI
2004-12-01,59,WI,Milwaukee ,Milwaukee WI
2005-01-01,41,WI,Milwaukee ,Milwaukee WI
2005-02-01,87,WI,Milwaukee ,Milwaukee WI
2005-03-01,62,WI,Milwaukee ,Milwaukee WI
2005-04-01,25,WI,Milwaukee ,Milwaukee WI
2005-05-01,55,WI,Milwaukee ,Milwaukee WI
2005-06-01,62,WI,Milwaukee ,Milwaukee WI
2005-07-01,70,WI,Milwaukee ,Milwaukee WI
2005-08-01,68,WI,Milwaukee ,Milwaukee WI
2005-09-01,80,WI,Milwaukee ,Milwaukee WI
2005-10-01,84,WI,Milwaukee ,Milwaukee WI
2005-11-01,62,WI,Milwaukee ,Milwaukee WI
2005-12-01,90,WI,Milwaukee ,Milwaukee WI
2006-01-01,55,WI,Milwaukee ,Milwaukee WI
2006-02-01,52,WI,Milwaukee ,Milwaukee WI
2006-03-01,94,WI,Milwaukee ,Milwaukee WI
2006-04-01,61,WI,Milwaukee ,Milwaukee WI
2006-05-01,66,WI,Milwaukee ,Milwaukee WI
2006-06-01,69,WI,Milwaukee ,Milwaukee WI
2006-07-01,100,WI,Milwaukee ,Milwaukee WI
2006-08-01,50,WI,Milwaukee ,Milwaukee WI
2006-09-01,28,WI,Milwaukee ,Milwaukee WI
2006-10-01,70,WI,Milwaukee ,Milwaukee WI
2006-11-01,78,WI,Milwaukee ,Milwaukee WI
2006-12-01,40,WI,Milwaukee ,Milwaukee WI
2007-01-01,57,WI,Milwaukee ,Milwaukee WI
2007-02-01,72,WI,Milwaukee ,Milwaukee WI
2007-03-01,55,WI,Milwaukee ,Milwaukee WI
2007-04-01,82,WI,Milwaukee ,Milwaukee WI
2007-05-01,56,WI,Milwaukee ,Milwaukee WI
2007-06-01,64,WI,Milwaukee ,Milwaukee WI
2007-07-01,69,WI,Milwaukee ,Milwaukee WI
2007-08-01,77,WI,Milwaukee ,Milwaukee WI
2007-09-01,59,WI,Milwaukee ,Milwaukee WI
2007-10-01,54,WI,Milwaukee ,Milwaukee WI
2007-11-01,50,WI,Milwaukee ,Milwaukee WI
2007-12-01,58,WI,Milwaukee ,Milwaukee WI
