date,housing,State
2004-01-01,0,AR
2004-02-01,87,AR
2004-03-01,57,AR
2004-04-01,100,AR
2004-05-01,42,AR
2004-06-01,99,AR
2004-07-01,64,AR
2004-08-01,0,AR
2004-09-01,36,AR
2004-10-01,42,AR
2004-11-01,53,AR
2004-12-01,46,AR
2005-01-01,74,AR
2005-02-01,54,AR
2005-03-01,57,AR
2005-04-01,60,AR
2005-05-01,62,AR
2005-06-01,25,AR
2005-07-01,83,AR
2005-08-01,71,AR
2005-09-01,77,AR
2005-10-01,51,AR
2005-11-01,30,AR
2005-12-01,53,AR
2006-01-01,50,AR
2006-02-01,57,AR
2006-03-01,48,AR
2006-04-01,51,AR
2006-05-01,44,AR
2006-06-01,49,AR
2006-07-01,59,AR
2006-08-01,69,AR
2006-09-01,61,AR
2006-10-01,43,AR
2006-11-01,32,AR
2006-12-01,46,AR
2007-01-01,61,AR
2007-02-01,43,AR
2007-03-01,20,AR
2007-04-01,50,AR
2007-05-01,33,AR
2007-06-01,56,AR
2007-07-01,74,AR
2007-08-01,52,AR
2007-09-01,43,AR
2007-10-01,42,AR
2007-11-01,41,AR
2007-12-01,24,AR
2008-01-01,55,AR
2008-02-01,52,AR
2008-03-01,46,AR
2008-04-01,63,AR
2008-05-01,62,AR
2008-06-01,51,AR
2008-07-01,58,AR
2008-08-01,60,AR
2008-09-01,59,AR
2008-10-01,73,AR
2008-11-01,49,AR
2008-12-01,51,AR
2009-01-01,52,AR
2009-02-01,68,AR
2009-03-01,58,AR
2009-04-01,58,AR
2009-05-01,59,AR
2009-06-01,58,AR
2009-07-01,61,AR
2009-08-01,53,AR
2009-09-01,60,AR
2009-10-01,49,AR
2009-11-01,44,AR
2009-12-01,50,AR
2010-01-01,53,AR
2010-02-01,65,AR
2010-03-01,67,AR
2010-04-01,62,AR
2010-05-01,65,AR
2010-06-01,60,AR
2010-07-01,63,AR
2010-08-01,55,AR
2010-09-01,63,AR
2010-10-01,50,AR
2010-11-01,58,AR
2010-12-01,47,AR
2011-01-01,45,AR
2011-02-01,49,AR
2011-03-01,50,AR
2011-04-01,66,AR
2011-05-01,53,AR
2011-06-01,48,AR
2011-07-01,45,AR
2011-08-01,57,AR
2011-09-01,57,AR
2011-10-01,56,AR
2011-11-01,45,AR
2011-12-01,45,AR
2012-01-01,55,AR
2012-02-01,56,AR
2012-03-01,52,AR
2012-04-01,64,AR
2012-05-01,43,AR
2012-06-01,52,AR
2012-07-01,54,AR
2012-08-01,51,AR
2012-09-01,50,AR
2012-10-01,52,AR
2012-11-01,42,AR
2012-12-01,35,AR
2013-01-01,57,AR
2013-02-01,45,AR
2013-03-01,49,AR
2013-04-01,56,AR
2013-05-01,56,AR
2013-06-01,55,AR
2013-07-01,59,AR
2013-08-01,62,AR
2013-09-01,47,AR
2013-10-01,47,AR
2013-11-01,37,AR
2013-12-01,40,AR
2014-01-01,53,AR
2014-02-01,51,AR
2014-03-01,54,AR
2014-04-01,66,AR
2014-05-01,62,AR
2014-06-01,56,AR
2014-07-01,56,AR
2014-08-01,57,AR
2014-09-01,50,AR
2014-10-01,57,AR
2014-11-01,45,AR
2014-12-01,44,AR
2015-01-01,58,AR
2015-02-01,50,AR
2015-03-01,62,AR
2015-04-01,77,AR
2015-05-01,56,AR
2015-06-01,64,AR
2015-07-01,65,AR
2015-08-01,67,AR
2015-09-01,47,AR
2015-10-01,53,AR
2015-11-01,49,AR
2015-12-01,53,AR
2016-01-01,63,AR
2016-02-01,56,AR
2016-03-01,59,AR
2016-04-01,65,AR
2016-05-01,57,AR
2016-06-01,65,AR
2016-07-01,64,AR
2016-08-01,64,AR
2016-09-01,51,AR
2016-10-01,54,AR
2016-11-01,47,AR
2016-12-01,44,AR
2017-01-01,62,AR
2017-02-01,64,AR
2017-03-01,57,AR
2017-04-01,54,AR
2017-05-01,54,AR
2017-06-01,53,AR
2017-07-01,59,AR
2017-08-01,66,AR
2017-09-01,54,AR
2017-10-01,51,AR
2017-11-01,59,AR
2017-12-01,47,AR
2018-01-01,61,AR
2018-02-01,60,AR
2018-03-01,55,AR
2018-04-01,69,AR
2018-05-01,56,AR
2018-06-01,61,AR
2018-07-01,69,AR
2018-08-01,70,AR
2018-09-01,54,AR
2018-10-01,59,AR
2018-11-01,50,AR
2018-12-01,41,AR
2019-01-01,65,AR
2019-02-01,54,AR
2019-03-01,56,AR
2019-04-01,72,AR
2019-05-01,61,AR
2019-06-01,65,AR
2019-07-01,65,AR
2019-08-01,65,AR
2019-09-01,55,AR
2019-10-01,57,AR
2019-11-01,50,AR
2019-12-01,47,AR
2020-01-01,66,AR
2020-02-01,67,AR
2020-03-01,53,AR
2020-04-01,52,AR
2020-05-01,51,AR
2020-06-01,59,AR
2020-07-01,57,AR
2020-08-01,68,AR
2020-09-01,51,AR
2020-10-01,48,AR
2020-11-01,45,AR
2020-12-01,52,AR
