date,immigration,State,DMA,Full
2004-01-01,64,NY,Buffalo ,Buffalo NY
2004-02-01,92,NY,Buffalo ,Buffalo NY
2004-03-01,91,NY,Buffalo ,Buffalo NY
2004-04-01,72,NY,Buffalo ,Buffalo NY
2004-05-01,80,NY,Buffalo ,Buffalo NY
2004-06-01,43,NY,Buffalo ,Buffalo NY
2004-07-01,36,NY,Buffalo ,Buffalo NY
2004-08-01,0,NY,Buffalo ,Buffalo NY
2004-09-01,21,NY,Buffalo ,Buffalo NY
2004-10-01,60,NY,Buffalo ,Buffalo NY
2004-11-01,0,NY,Buffalo ,Buffalo NY
2004-12-01,100,NY,Buffalo ,Buffalo NY
2005-01-01,24,NY,Buffalo ,Buffalo NY
2005-02-01,0,NY,Buffalo ,Buffalo NY
2005-03-01,22,NY,Buffalo ,Buffalo NY
2005-04-01,39,NY,Buffalo ,Buffalo NY
2005-05-01,40,NY,Buffalo ,Buffalo NY
2005-06-01,55,NY,Buffalo ,Buffalo NY
2005-07-01,0,NY,Buffalo ,Buffalo NY
2005-08-01,0,NY,Buffalo ,Buffalo NY
2005-09-01,36,NY,Buffalo ,Buffalo NY
2005-10-01,38,NY,Buffalo ,Buffalo NY
2005-11-01,58,NY,Buffalo ,Buffalo NY
2005-12-01,49,NY,Buffalo ,Buffalo NY
2006-01-01,42,NY,Buffalo ,Buffalo NY
2006-02-01,33,NY,Buffalo ,Buffalo NY
2006-03-01,33,NY,Buffalo ,Buffalo NY
2006-04-01,91,NY,Buffalo ,Buffalo NY
2006-05-01,71,NY,Buffalo ,Buffalo NY
2006-06-01,18,NY,Buffalo ,Buffalo NY
2006-07-01,34,NY,Buffalo ,Buffalo NY
2006-08-01,27,NY,Buffalo ,Buffalo NY
2006-09-01,29,NY,Buffalo ,Buffalo NY
2006-10-01,49,NY,Buffalo ,Buffalo NY
2006-11-01,57,NY,Buffalo ,Buffalo NY
2006-12-01,27,NY,Buffalo ,Buffalo NY
2007-01-01,53,NY,Buffalo ,Buffalo NY
2007-02-01,23,NY,Buffalo ,Buffalo NY
2007-03-01,45,NY,Buffalo ,Buffalo NY
2007-04-01,25,NY,Buffalo ,Buffalo NY
2007-05-01,39,NY,Buffalo ,Buffalo NY
2007-06-01,37,NY,Buffalo ,Buffalo NY
2007-07-01,25,NY,Buffalo ,Buffalo NY
2007-08-01,40,NY,Buffalo ,Buffalo NY
2007-09-01,40,NY,Buffalo ,Buffalo NY
2007-10-01,26,NY,Buffalo ,Buffalo NY
2007-11-01,64,NY,Buffalo ,Buffalo NY
2007-12-01,40,NY,Buffalo ,Buffalo NY
2008-01-01,35,NY,Buffalo ,Buffalo NY
2008-02-01,48,NY,Buffalo ,Buffalo NY
2008-03-01,45,NY,Buffalo ,Buffalo NY
2008-04-01,32,NY,Buffalo ,Buffalo NY
2008-05-01,37,NY,Buffalo ,Buffalo NY
2008-06-01,46,NY,Buffalo ,Buffalo NY
2008-07-01,30,NY,Buffalo ,Buffalo NY
2008-08-01,38,NY,Buffalo ,Buffalo NY
2008-09-01,36,NY,Buffalo ,Buffalo NY
2008-10-01,23,NY,Buffalo ,Buffalo NY
2008-11-01,38,NY,Buffalo ,Buffalo NY
2008-12-01,56,NY,Buffalo ,Buffalo NY
2009-01-01,36,NY,Buffalo ,Buffalo NY
2009-02-01,16,NY,Buffalo ,Buffalo NY
2009-03-01,45,NY,Buffalo ,Buffalo NY
2009-04-01,21,NY,Buffalo ,Buffalo NY
2009-05-01,25,NY,Buffalo ,Buffalo NY
2009-06-01,12,NY,Buffalo ,Buffalo NY
2009-07-01,37,NY,Buffalo ,Buffalo NY
2009-08-01,13,NY,Buffalo ,Buffalo NY
2009-09-01,31,NY,Buffalo ,Buffalo NY
2009-10-01,41,NY,Buffalo ,Buffalo NY
2009-11-01,26,NY,Buffalo ,Buffalo NY
2009-12-01,38,NY,Buffalo ,Buffalo NY
2010-01-01,21,NY,Buffalo ,Buffalo NY
2010-02-01,23,NY,Buffalo ,Buffalo NY
2010-03-01,23,NY,Buffalo ,Buffalo NY
2010-04-01,62,NY,Buffalo ,Buffalo NY
2010-05-01,45,NY,Buffalo ,Buffalo NY
2010-06-01,50,NY,Buffalo ,Buffalo NY
2010-07-01,54,NY,Buffalo ,Buffalo NY
2010-08-01,19,NY,Buffalo ,Buffalo NY
2010-09-01,20,NY,Buffalo ,Buffalo NY
2010-10-01,22,NY,Buffalo ,Buffalo NY
2010-11-01,40,NY,Buffalo ,Buffalo NY
2010-12-01,39,NY,Buffalo ,Buffalo NY
2011-01-01,33,NY,Buffalo ,Buffalo NY
2011-02-01,31,NY,Buffalo ,Buffalo NY
2011-03-01,31,NY,Buffalo ,Buffalo NY
2011-04-01,19,NY,Buffalo ,Buffalo NY
2011-05-01,27,NY,Buffalo ,Buffalo NY
2011-06-01,18,NY,Buffalo ,Buffalo NY
2011-07-01,16,NY,Buffalo ,Buffalo NY
2011-08-01,19,NY,Buffalo ,Buffalo NY
2011-09-01,25,NY,Buffalo ,Buffalo NY
2011-10-01,34,NY,Buffalo ,Buffalo NY
2011-11-01,31,NY,Buffalo ,Buffalo NY
2011-12-01,27,NY,Buffalo ,Buffalo NY
2012-01-01,24,NY,Buffalo ,Buffalo NY
2012-02-01,28,NY,Buffalo ,Buffalo NY
2012-03-01,19,NY,Buffalo ,Buffalo NY
2012-04-01,20,NY,Buffalo ,Buffalo NY
2012-05-01,29,NY,Buffalo ,Buffalo NY
2012-06-01,28,NY,Buffalo ,Buffalo NY
2012-07-01,20,NY,Buffalo ,Buffalo NY
2012-08-01,18,NY,Buffalo ,Buffalo NY
2012-09-01,20,NY,Buffalo ,Buffalo NY
2012-10-01,25,NY,Buffalo ,Buffalo NY
2012-11-01,22,NY,Buffalo ,Buffalo NY
2012-12-01,14,NY,Buffalo ,Buffalo NY
2013-01-01,28,NY,Buffalo ,Buffalo NY
2013-02-01,30,NY,Buffalo ,Buffalo NY
2013-03-01,24,NY,Buffalo ,Buffalo NY
2013-04-01,25,NY,Buffalo ,Buffalo NY
