date,immigration,State,DMA,Full
2004-01-01,31,OH,Cincinnati ,Cincinnati OH
2004-02-01,100,OH,Cincinnati ,Cincinnati OH
2004-03-01,21,OH,Cincinnati ,Cincinnati OH
2004-04-01,27,OH,Cincinnati ,Cincinnati OH
2004-05-01,52,OH,Cincinnati ,Cincinnati OH
2004-06-01,45,OH,Cincinnati ,Cincinnati OH
2004-07-01,61,OH,Cincinnati ,Cincinnati OH
2004-08-01,25,OH,Cincinnati ,Cincinnati OH
2004-09-01,31,OH,Cincinnati ,Cincinnati OH
2004-10-01,72,OH,Cincinnati ,Cincinnati OH
2004-11-01,92,OH,Cincinnati ,Cincinnati OH
2004-12-01,43,OH,Cincinnati ,Cincinnati OH
2005-01-01,34,OH,Cincinnati ,Cincinnati OH
2005-02-01,40,OH,Cincinnati ,Cincinnati OH
2005-03-01,46,OH,Cincinnati ,Cincinnati OH
2005-04-01,75,OH,Cincinnati ,Cincinnati OH
2005-05-01,54,OH,Cincinnati ,Cincinnati OH
2005-06-01,19,OH,Cincinnati ,Cincinnati OH
2005-07-01,36,OH,Cincinnati ,Cincinnati OH
2005-08-01,0,OH,Cincinnati ,Cincinnati OH
2005-09-01,57,OH,Cincinnati ,Cincinnati OH
2005-10-01,59,OH,Cincinnati ,Cincinnati OH
2005-11-01,49,OH,Cincinnati ,Cincinnati OH
2005-12-01,25,OH,Cincinnati ,Cincinnati OH
2006-01-01,28,OH,Cincinnati ,Cincinnati OH
2006-02-01,28,OH,Cincinnati ,Cincinnati OH
2006-03-01,31,OH,Cincinnati ,Cincinnati OH
2006-04-01,75,OH,Cincinnati ,Cincinnati OH
2006-05-01,77,OH,Cincinnati ,Cincinnati OH
2006-06-01,57,OH,Cincinnati ,Cincinnati OH
2006-07-01,29,OH,Cincinnati ,Cincinnati OH
2006-08-01,29,OH,Cincinnati ,Cincinnati OH
2006-09-01,75,OH,Cincinnati ,Cincinnati OH
2006-10-01,47,OH,Cincinnati ,Cincinnati OH
2006-11-01,45,OH,Cincinnati ,Cincinnati OH
2006-12-01,26,OH,Cincinnati ,Cincinnati OH
2007-01-01,52,OH,Cincinnati ,Cincinnati OH
2007-02-01,31,OH,Cincinnati ,Cincinnati OH
2007-03-01,39,OH,Cincinnati ,Cincinnati OH
2007-04-01,41,OH,Cincinnati ,Cincinnati OH
2007-05-01,56,OH,Cincinnati ,Cincinnati OH
2007-06-01,63,OH,Cincinnati ,Cincinnati OH
2007-07-01,40,OH,Cincinnati ,Cincinnati OH
2007-08-01,27,OH,Cincinnati ,Cincinnati OH
2007-09-01,34,OH,Cincinnati ,Cincinnati OH
2007-10-01,52,OH,Cincinnati ,Cincinnati OH
2007-11-01,60,OH,Cincinnati ,Cincinnati OH
2007-12-01,41,OH,Cincinnati ,Cincinnati OH
2008-01-01,41,OH,Cincinnati ,Cincinnati OH
2008-02-01,38,OH,Cincinnati ,Cincinnati OH
2008-03-01,26,OH,Cincinnati ,Cincinnati OH
2008-04-01,63,OH,Cincinnati ,Cincinnati OH
2008-05-01,34,OH,Cincinnati ,Cincinnati OH
2008-06-01,14,OH,Cincinnati ,Cincinnati OH
2008-07-01,23,OH,Cincinnati ,Cincinnati OH
2008-08-01,19,OH,Cincinnati ,Cincinnati OH
2008-09-01,35,OH,Cincinnati ,Cincinnati OH
2008-10-01,36,OH,Cincinnati ,Cincinnati OH
2008-11-01,37,OH,Cincinnati ,Cincinnati OH
2008-12-01,24,OH,Cincinnati ,Cincinnati OH
2009-01-01,40,OH,Cincinnati ,Cincinnati OH
2009-02-01,38,OH,Cincinnati ,Cincinnati OH
2009-03-01,26,OH,Cincinnati ,Cincinnati OH
2009-04-01,39,OH,Cincinnati ,Cincinnati OH
2009-05-01,21,OH,Cincinnati ,Cincinnati OH
2009-06-01,17,OH,Cincinnati ,Cincinnati OH
2009-07-01,22,OH,Cincinnati ,Cincinnati OH
2009-08-01,28,OH,Cincinnati ,Cincinnati OH
2009-09-01,22,OH,Cincinnati ,Cincinnati OH
2009-10-01,42,OH,Cincinnati ,Cincinnati OH
2009-11-01,37,OH,Cincinnati ,Cincinnati OH
2009-12-01,31,OH,Cincinnati ,Cincinnati OH
2010-01-01,33,OH,Cincinnati ,Cincinnati OH
2010-02-01,26,OH,Cincinnati ,Cincinnati OH
2010-03-01,36,OH,Cincinnati ,Cincinnati OH
2010-04-01,43,OH,Cincinnati ,Cincinnati OH
2010-05-01,71,OH,Cincinnati ,Cincinnati OH
2010-06-01,34,OH,Cincinnati ,Cincinnati OH
2010-07-01,46,OH,Cincinnati ,Cincinnati OH
2010-08-01,32,OH,Cincinnati ,Cincinnati OH
2010-09-01,26,OH,Cincinnati ,Cincinnati OH
2010-10-01,38,OH,Cincinnati ,Cincinnati OH
2010-11-01,39,OH,Cincinnati ,Cincinnati OH
2010-12-01,24,OH,Cincinnati ,Cincinnati OH
2011-01-01,21,OH,Cincinnati ,Cincinnati OH
2011-02-01,29,OH,Cincinnati ,Cincinnati OH
2011-03-01,33,OH,Cincinnati ,Cincinnati OH
2011-04-01,26,OH,Cincinnati ,Cincinnati OH
2011-05-01,26,OH,Cincinnati ,Cincinnati OH
2011-06-01,29,OH,Cincinnati ,Cincinnati OH
2011-07-01,23,OH,Cincinnati ,Cincinnati OH
2011-08-01,15,OH,Cincinnati ,Cincinnati OH
2011-09-01,24,OH,Cincinnati ,Cincinnati OH
2011-10-01,27,OH,Cincinnati ,Cincinnati OH
2011-11-01,22,OH,Cincinnati ,Cincinnati OH
2011-12-01,31,OH,Cincinnati ,Cincinnati OH
2012-01-01,22,OH,Cincinnati ,Cincinnati OH
2012-02-01,24,OH,Cincinnati ,Cincinnati OH
2012-03-01,20,OH,Cincinnati ,Cincinnati OH
2012-04-01,21,OH,Cincinnati ,Cincinnati OH
2012-05-01,23,OH,Cincinnati ,Cincinnati OH
2012-06-01,19,OH,Cincinnati ,Cincinnati OH
2012-07-01,17,OH,Cincinnati ,Cincinnati OH
2012-08-01,17,OH,Cincinnati ,Cincinnati OH
2012-09-01,21,OH,Cincinnati ,Cincinnati OH
2012-10-01,24,OH,Cincinnati ,Cincinnati OH
2012-11-01,22,OH,Cincinnati ,Cincinnati OH
2012-12-01,15,OH,Cincinnati ,Cincinnati OH
2013-01-01,27,OH,Cincinnati ,Cincinnati OH
2013-02-01,26,OH,Cincinnati ,Cincinnati OH
2013-03-01,26,OH,Cincinnati ,Cincinnati OH
2013-04-01,35,OH,Cincinnati ,Cincinnati OH
2013-05-01,28,OH,Cincinnati ,Cincinnati OH
2013-06-01,35,OH,Cincinnati ,Cincinnati OH
2013-07-01,24,OH,Cincinnati ,Cincinnati OH
2013-08-01,20,OH,Cincinnati ,Cincinnati OH
2013-09-01,26,OH,Cincinnati ,Cincinnati OH
2013-10-01,26,OH,Cincinnati ,Cincinnati OH
2013-11-01,25,OH,Cincinnati ,Cincinnati OH
2013-12-01,14,OH,Cincinnati ,Cincinnati OH
2014-01-01,24,OH,Cincinnati ,Cincinnati OH
2014-02-01,22,OH,Cincinnati ,Cincinnati OH
2014-03-01,25,OH,Cincinnati ,Cincinnati OH
2014-04-01,25,OH,Cincinnati ,Cincinnati OH
2014-05-01,21,OH,Cincinnati ,Cincinnati OH
2014-06-01,18,OH,Cincinnati ,Cincinnati OH
2014-07-01,25,OH,Cincinnati ,Cincinnati OH
2014-08-01,19,OH,Cincinnati ,Cincinnati OH
2014-09-01,20,OH,Cincinnati ,Cincinnati OH
2014-10-01,23,OH,Cincinnati ,Cincinnati OH
2014-11-01,38,OH,Cincinnati ,Cincinnati OH
2014-12-01,19,OH,Cincinnati ,Cincinnati OH
2015-01-01,26,OH,Cincinnati ,Cincinnati OH
2015-02-01,24,OH,Cincinnati ,Cincinnati OH
2015-03-01,22,OH,Cincinnati ,Cincinnati OH
2015-04-01,17,OH,Cincinnati ,Cincinnati OH
2015-05-01,15,OH,Cincinnati ,Cincinnati OH
2015-06-01,20,OH,Cincinnati ,Cincinnati OH
2015-07-01,15,OH,Cincinnati ,Cincinnati OH
2015-08-01,23,OH,Cincinnati ,Cincinnati OH
2015-09-01,28,OH,Cincinnati ,Cincinnati OH
2015-10-01,23,OH,Cincinnati ,Cincinnati OH
2015-11-01,26,OH,Cincinnati ,Cincinnati OH
2015-12-01,22,OH,Cincinnati ,Cincinnati OH
2016-01-01,18,OH,Cincinnati ,Cincinnati OH
2016-02-01,18,OH,Cincinnati ,Cincinnati OH
