date,immigration,State,DMA,Full
2004-01-01,98,MO,Kansas City ,Kansas City MO
2004-02-01,41,MO,Kansas City ,Kansas City MO
2004-03-01,27,MO,Kansas City ,Kansas City MO
2004-04-01,59,MO,Kansas City ,Kansas City MO
2004-05-01,42,MO,Kansas City ,Kansas City MO
2004-06-01,57,MO,Kansas City ,Kansas City MO
2004-07-01,27,MO,Kansas City ,Kansas City MO
2004-08-01,25,MO,Kansas City ,Kansas City MO
2004-09-01,57,MO,Kansas City ,Kansas City MO
2004-10-01,45,MO,Kansas City ,Kansas City MO
2004-11-01,48,MO,Kansas City ,Kansas City MO
2004-12-01,48,MO,Kansas City ,Kansas City MO
2005-01-01,34,MO,Kansas City ,Kansas City MO
2005-02-01,36,MO,Kansas City ,Kansas City MO
2005-03-01,51,MO,Kansas City ,Kansas City MO
2005-04-01,31,MO,Kansas City ,Kansas City MO
2005-05-01,31,MO,Kansas City ,Kansas City MO
2005-06-01,57,MO,Kansas City ,Kansas City MO
2005-07-01,32,MO,Kansas City ,Kansas City MO
2005-08-01,41,MO,Kansas City ,Kansas City MO
2005-09-01,36,MO,Kansas City ,Kansas City MO
2005-10-01,85,MO,Kansas City ,Kansas City MO
2005-11-01,24,MO,Kansas City ,Kansas City MO
2005-12-01,42,MO,Kansas City ,Kansas City MO
2006-01-01,32,MO,Kansas City ,Kansas City MO
2006-02-01,30,MO,Kansas City ,Kansas City MO
2006-03-01,50,MO,Kansas City ,Kansas City MO
2006-04-01,100,MO,Kansas City ,Kansas City MO
2006-05-01,85,MO,Kansas City ,Kansas City MO
2006-06-01,36,MO,Kansas City ,Kansas City MO
2006-07-01,55,MO,Kansas City ,Kansas City MO
2006-08-01,43,MO,Kansas City ,Kansas City MO
2006-09-01,67,MO,Kansas City ,Kansas City MO
2006-10-01,51,MO,Kansas City ,Kansas City MO
2006-11-01,48,MO,Kansas City ,Kansas City MO
2006-12-01,30,MO,Kansas City ,Kansas City MO
2007-01-01,41,MO,Kansas City ,Kansas City MO
2007-02-01,51,MO,Kansas City ,Kansas City MO
2007-03-01,46,MO,Kansas City ,Kansas City MO
2007-04-01,57,MO,Kansas City ,Kansas City MO
2007-05-01,61,MO,Kansas City ,Kansas City MO
2007-06-01,69,MO,Kansas City ,Kansas City MO
2007-07-01,46,MO,Kansas City ,Kansas City MO
2007-08-01,46,MO,Kansas City ,Kansas City MO
2007-09-01,54,MO,Kansas City ,Kansas City MO
2007-10-01,50,MO,Kansas City ,Kansas City MO
2007-11-01,39,MO,Kansas City ,Kansas City MO
2007-12-01,43,MO,Kansas City ,Kansas City MO
2008-01-01,52,MO,Kansas City ,Kansas City MO
2008-02-01,49,MO,Kansas City ,Kansas City MO
2008-03-01,46,MO,Kansas City ,Kansas City MO
2008-04-01,37,MO,Kansas City ,Kansas City MO
2008-05-01,32,MO,Kansas City ,Kansas City MO
2008-06-01,26,MO,Kansas City ,Kansas City MO
2008-07-01,29,MO,Kansas City ,Kansas City MO
2008-08-01,34,MO,Kansas City ,Kansas City MO
2008-09-01,52,MO,Kansas City ,Kansas City MO
2008-10-01,38,MO,Kansas City ,Kansas City MO
2008-11-01,37,MO,Kansas City ,Kansas City MO
2008-12-01,30,MO,Kansas City ,Kansas City MO
2009-01-01,31,MO,Kansas City ,Kansas City MO
2009-02-01,41,MO,Kansas City ,Kansas City MO
2009-03-01,34,MO,Kansas City ,Kansas City MO
2009-04-01,37,MO,Kansas City ,Kansas City MO
2009-05-01,25,MO,Kansas City ,Kansas City MO
2009-06-01,41,MO,Kansas City ,Kansas City MO
2009-07-01,28,MO,Kansas City ,Kansas City MO
2009-08-01,29,MO,Kansas City ,Kansas City MO
2009-09-01,33,MO,Kansas City ,Kansas City MO
2009-10-01,36,MO,Kansas City ,Kansas City MO
2009-11-01,26,MO,Kansas City ,Kansas City MO
2009-12-01,36,MO,Kansas City ,Kansas City MO
2010-01-01,34,MO,Kansas City ,Kansas City MO
