date,immigration,State,DMA,Full
2004-01-01,47,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2004-02-01,46,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2004-03-01,51,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2004-04-01,0,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2004-05-01,0,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2004-06-01,48,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2004-07-01,0,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2004-08-01,46,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2004-09-01,24,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2004-10-01,23,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2004-11-01,0,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2004-12-01,67,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2005-01-01,45,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2005-02-01,23,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2005-03-01,53,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2005-04-01,44,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2005-05-01,21,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2005-06-01,25,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2005-07-01,25,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2005-08-01,70,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2005-09-01,24,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2005-10-01,17,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2005-11-01,17,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2005-12-01,0,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2006-01-01,19,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2006-02-01,100,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2006-03-01,19,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2006-04-01,38,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2006-05-01,68,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2006-06-01,34,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2006-07-01,53,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2006-08-01,23,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2006-09-01,46,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2006-10-01,47,IL,Peoria-Bloomington ,Peoria-Bloomington IL
2006-11-01,49,IL,Peoria-Bloomington ,Peoria-Bloomington IL
