date,immigration,State,DMA,Full
2004-01-01,42,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2004-02-01,0,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2004-03-01,59,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2004-04-01,29,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2004-05-01,55,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2004-06-01,26,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2004-07-01,100,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2004-08-01,27,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2004-09-01,38,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2004-10-01,38,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2004-11-01,0,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2004-12-01,74,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2005-01-01,34,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2005-02-01,47,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2005-03-01,40,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2005-04-01,35,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2005-05-01,21,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2005-06-01,69,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2005-07-01,51,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2005-08-01,43,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2005-09-01,52,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2005-10-01,56,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2005-11-01,33,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2005-12-01,34,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2006-01-01,33,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2006-02-01,38,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2006-03-01,42,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2006-04-01,57,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2006-05-01,69,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2006-06-01,44,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2006-07-01,49,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2006-08-01,19,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2006-09-01,37,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2006-10-01,62,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2006-11-01,40,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2006-12-01,43,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2007-01-01,12,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2007-02-01,52,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2007-03-01,29,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2007-04-01,58,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2007-05-01,68,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2007-06-01,57,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2007-07-01,56,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2007-08-01,42,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2007-09-01,57,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2007-10-01,58,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2007-11-01,46,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2007-12-01,45,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2008-01-01,48,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2008-02-01,54,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2008-03-01,33,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2008-04-01,43,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2008-05-01,33,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2008-06-01,31,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2008-07-01,36,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2008-08-01,10,VA,Richmond-Petersburg ,Richmond-Petersburg VA
