date,immigration,State,DMA,Full
2004-01-01,68,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2004-02-01,55,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2004-03-01,62,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2004-04-01,51,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2004-05-01,51,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2004-06-01,53,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2004-07-01,47,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2004-08-01,55,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2004-09-01,61,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2004-10-01,59,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2004-11-01,67,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2004-12-01,48,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2005-01-01,47,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2005-02-01,46,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2005-03-01,53,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2005-04-01,60,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2005-05-01,56,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2005-06-01,47,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2005-07-01,43,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2005-08-01,48,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2005-09-01,41,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2005-10-01,50,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2005-11-01,49,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2005-12-01,50,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2006-01-01,43,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2006-02-01,48,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2006-03-01,69,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2006-04-01,91,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2006-05-01,100,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2006-06-01,56,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2006-07-01,45,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2006-08-01,42,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2006-09-01,46,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2006-10-01,48,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2006-11-01,50,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2006-12-01,43,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2007-01-01,51,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2007-02-01,43,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2007-03-01,56,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2007-04-01,48,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2007-05-01,68,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2007-06-01,63,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2007-07-01,54,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2007-08-01,41,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2007-09-01,42,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2007-10-01,39,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2007-11-01,41,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2007-12-01,31,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2008-01-01,31,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2008-02-01,34,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2008-03-01,36,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2008-04-01,31,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2008-05-01,32,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2008-06-01,26,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2008-07-01,23,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2008-08-01,25,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2008-09-01,24,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2008-10-01,26,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2008-11-01,26,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2008-12-01,25,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2009-01-01,23,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2009-02-01,26,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2009-03-01,24,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2009-04-01,24,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2009-05-01,23,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2009-06-01,21,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2009-07-01,18,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2009-08-01,18,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2009-09-01,19,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2009-10-01,19,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2009-11-01,19,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2009-12-01,19,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2010-01-01,20,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2010-02-01,19,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2010-03-01,22,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2010-04-01,24,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2010-05-01,34,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2010-06-01,19,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2010-07-01,16,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2010-08-01,14,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2010-09-01,15,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2010-10-01,14,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2010-11-01,15,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2010-12-01,12,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2011-01-01,28,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2011-02-01,29,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2011-03-01,27,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2011-04-01,26,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2011-05-01,32,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2011-06-01,26,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2011-07-01,25,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2011-08-01,23,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2011-09-01,24,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2011-10-01,28,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2011-11-01,29,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2011-12-01,24,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2012-01-01,26,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2012-02-01,25,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2012-03-01,25,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2012-04-01,25,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
2012-05-01,26,CA,San Francisco-Oakland-San Jose ,San Francisco-Oakland-San Jose CA
