,date,inmigracion,State
0,2004-01-01,0,MN
1,2004-02-01,0,MN
2,2004-03-01,66,MN
3,2004-04-01,0,MN
4,2004-05-01,0,MN
5,2004-06-01,0,MN
6,2004-07-01,0,MN
7,2004-08-01,0,MN
8,2004-09-01,100,MN
9,2004-10-01,0,MN
10,2004-11-01,50,MN
11,2004-12-01,0,MN
12,2005-01-01,0,MN
13,2005-02-01,0,MN
14,2005-03-01,72,MN
15,2005-04-01,49,MN
16,2005-05-01,51,MN
17,2005-06-01,0,MN
18,2005-07-01,0,MN
19,2005-08-01,0,MN
20,2005-09-01,28,MN
21,2005-10-01,0,MN
22,2005-11-01,47,MN
23,2005-12-01,0,MN
24,2006-01-01,0,MN
25,2006-02-01,30,MN
26,2006-03-01,0,MN
27,2006-04-01,0,MN
28,2006-05-01,26,MN
29,2006-06-01,0,MN
30,2006-07-01,0,MN
31,2006-08-01,0,MN
32,2006-09-01,0,MN
33,2006-10-01,0,MN
34,2006-11-01,48,MN
35,2006-12-01,0,MN
36,2007-01-01,0,MN
37,2007-02-01,0,MN
38,2007-03-01,0,MN
39,2007-04-01,0,MN
40,2007-05-01,0,MN
41,2007-06-01,0,MN
42,2007-07-01,0,MN
43,2007-08-01,0,MN
44,2007-09-01,0,MN
45,2007-10-01,46,MN
46,2007-11-01,0,MN
47,2007-12-01,0,MN
48,2008-01-01,0,MN
49,2008-02-01,15,MN
50,2008-03-01,0,MN
51,2008-04-01,0,MN
52,2008-05-01,0,MN
53,2008-06-01,0,MN
54,2008-07-01,0,MN
55,2008-08-01,0,MN
56,2008-09-01,0,MN
57,2008-10-01,26,MN
58,2008-11-01,0,MN
59,2008-12-01,14,MN
60,2009-01-01,0,MN
61,2009-02-01,0,MN
62,2009-03-01,0,MN
63,2009-04-01,0,MN
64,2009-05-01,0,MN
65,2009-06-01,12,MN
66,2009-07-01,0,MN
67,2009-08-01,0,MN
68,2009-09-01,11,MN
69,2009-10-01,0,MN
70,2009-11-01,0,MN
